word,class,sentence,word_mean
around,adverb,What's going on around here?,"in a position or direction surrounding , or in a direction going along the edge of or from one part to another (of)"
arrive,verb,What time does our train arrive?,"to reach a place , especially at the end of a journey"
art,noun,"Our Father, who art in heaven, hallowed be thy name.","the making of objects , images , music , etc. that are beautiful or that express feelings : | the making or showing or performance of painting , acting , dancing , and music"
article,noun,I read the article in Forbes.,"a piece of writing on a particular subject in a newspaper or magazine , or on the internet"
artist,noun,"Your daughter, she's the artist?","someone who paints , draws , or makes sculptures"
ask,verb,Let me ask you something.,"to put a question to someone, or to request an answer from someone"
at,preposition,What are you looking at?,used to show an exact position or particular place
August,noun,"Miss August, Miss Sandra Beatty.","the eighth month of the year , after July and before September"
aunt,noun,And I'm positive that if Uncle Conrad and Aunt...,"the sister of someone's father or mother , or the wife of someone's uncle or aunt"
away,adverb,Don't let him get away!,"somewhere else , or to or in a different place , position , or situation"
baby,noun,"Come on, baby, come on.","a very young child , especially one that has not yet begun to walk or talk"
bad,adjective,Is that good or bad?,unpleasant and causing difficulties
bag,noun,Two suits for dry-clean and a bag of whatnot.,"a soft container made out of paper or thin plastic , and open at the top , used to hold foods and other goods"
ball,noun,Lucille Ball and Desi Arnaz will be back next week at this same time.,"a rude word for testicles : | any object in the shape of a sphere , especially one used as a toy by children or in various sports such as tennis and football"
band,noun,We're putting the band back together.,a group of musicians who play modern music together
bank,noun,"We're not a bank, Jerry.","an organization where people and businesses can invest or borrow money , change it to foreign money , etc., or a building where these services are offered"
bath,noun,"It's time for your bath, Lieutenant.","a long plastic , metal , or ceramic container that is filled with water so that you can sit or lie in it to wash your whole body"
bathroom,noun,I have to go to the bathroom.,a room with a bath and/or shower and often a toilet
be,verb,You'll be all right.,"used to say something about a person , thing, or state , to show a permanent or temporary quality , state , job , etc.: | a yellow and black flying insect that makes honey and can sting you"
beach,noun,Let's go to the beach.,an area of sand or small stones near the sea or another area of water such as a lake
beautiful,adjective,So let's make the most of this beautiful day.,very attractive
because,conjunction,Not because I'm in here or because you think I should.,for the reason that
become,verb,What will become of us?,to start to be
bed,noun,You should be in bed.,"a large , rectangular piece of furniture , often with four legs , used for sleeping on"
bedroom,noun,The phone is in my bedroom.,a room used for sleeping in
beer,noun,I figure we owe him that much for the beer.,an alcoholic drink made from grain and hops (= a type of plant )
begin,verb,I don't know where to begin.,to start to happen or exist
beginning,noun,This is just the beginning.,the first part of something or the start of something
behind,adverb,I'll be right behind you.,at the back (of)
believe,verb,"You don't believe me, do you?","to think that something is true , correct , or real"
below,adverb,We'll make an incision just below the knuckle there.,"in a lower position (than), under"
best,adjective,You're my best friend.,"of the highest quality , or being the most suitable , pleasing , or effective type of thing or person"
better,adjective,You know better than that.,"comparative of good : of a higher standard , or more suitable , pleasing , or effective than other things or people"
bicycle,noun,Of a bicycle built for two,a two-wheeled vehicle that you sit on and move by turning the two pedals (= flat parts you press with your feet )
big,adjective,You're making a big mistake.,large in size or amount
bike,noun,"Hey, you on the bike!",a bicycle
bill,noun,Put it on my bill.,"a request for payment of money owed , or the piece of paper on which it is written"
bird,noun,"Hey, little bird Fly away home","a creature with feathers and wings , usually able to fly"
birthday,noun,Happy birthday to you Happy birthday to you,the day that is exactly a year or number of years after a person was born
black,noun,The black girl was a demolition expert.,"having the darkest colour there is, like the colour of coal or of a very dark night"
blonde,adjective,"But my Susan was a blonde, not a redhead.",pale yellow or gold in colour
blue,adjective,I hope the Pacific is as blue as it has been in my dreams.,"of the colour of the sky without clouds on a bright day , or a darker or lighter type of this"
boat,noun,"Row, row, row your boat",a small vehicle for travelling on water
body,noun,What have you done with his body?,the whole physical structure that forms a person or animal
book,noun,"He made deals with book clubs, charity groups.",the written records of money that a business has spent or received : | a written text that can be published in printed or electronic form
boot,noun,"Ellie, boot up the door locks!",a type of shoe that covers the whole foot and the lower part of the leg
bored,adjective,"I am fucking bored to death, man.","feeling unhappy because something is not interesting or because you have nothing to do, or showing that you feel like this"
boring,adjective,"You wouldn't want my life to get boring, would you?",not interesting or exciting
born,verb,There's one born every minute.,"to come out of a mother's body , and start to exist"
both,determiner,"Stop it, both of you!",(referring to) two people or things together
bottle,noun,"A broken bourbon bottle, likewise with fingerprints.","a container for liquids , usually made of glass or plastic , with a narrow neck"
box,noun,"You know, the box and the chain thing.",a square or rectangular container with stiff sides and sometimes a lid
boy,noun,"Boy, am I glad to see you.","a group of male friends : | a male child or, more generally , a male of any age"
boyfriend,noun,Two months ago he took her for a drive with another boyfriend.,a man or boy that a person is having a romantic or sexual relationship with
bread,noun,Give us this day our daily bread.,"a food made from flour , water , and usually yeast , mixed together and baked"
break,noun,"Give me a break, will you?","to ( cause something to) separate suddenly or violently into two or more pieces , or to ( cause something to) stop working by being damaged"
breakfast,noun,What do you want for breakfast?,a meal eaten in the morning as the first meal of the day
bring,verb,Why did you bring me here?,"to take or carry someone or something to a place or a person , or in the direction of the person speaking"
brother,noun,He's like a brother to me.,a man or boy with the same parents as another person
brown,adjective,Brown paper packages Tied up with strings,the colour of chocolate or soil
bus,noun,If I can make it to the bus stop by midnight,a large vehicle in which people are driven from one place to another
build,verb,"If you build it, he will come.",to make something by putting bricks or other materials together
building,noun,Frasier has left the building.,"a structure with walls and a roof , such as a house or factory"
business,noun,It's none of your business.,the activity of buying and selling goods and services
busy,adjective,Get busy living or get busy dying.,"If you are busy, you are working hard, or giving your attention to a particular thing"
butter,noun,"Yeah, rubbing himself in peanut butter.",a pale yellow solid food containing a lot of fat that is made from cream and is spread on bread or used in cooking
buy,verb,"Come on, I'll buy you a drink.",to get something by paying money for it
bye,exclamation,I've come to say good-bye.,goodbye
cake,noun,Would you like some cake?,"a sweet food made with a mixture of flour , eggs , fat , and sugar"
call,noun,What do you call it?,"to give someone or something a name , or to know or address someone by a particular name"
camera,noun,Don't look at the camera.,a device for taking photographs or making films or television programmes
cannot,modal verb,"Looked for, he cannot be seen.","the negative form of the verb ""can"""
capital,noun,I'm glad we were here together in our nation's capital.,a city that is the centre of government of a country or smaller political area
car,noun,Get out of the car.,"a road vehicle with an engine , four wheels , and seats for a small number of people : | the process of protecting someone or something and providing what that person or thing needs"
card,noun,Probably couldn't get a library card if he tried.,"any of a range of games played with cards, such as poker , whist , and bridge : | a small , rectangular piece of card or plastic , often with your signature , photograph , or other information proving who you are, that allows you to do something, such as make a payment , get money from a bank , or enter a particular place"
career,noun,My father helped him with his career.,"the job or series of jobs that you do during your working life , especially if you continue to get better jobs and earn more money"
carry,verb,They're licensed to carry firearms.,"to hold something or someone with your hands , arms , or on your back and transport it, him, or her from one place to another"
cat,noun,Look what the cat dragged in.,"a small animal with fur , four legs , a tail , and claws , usually kept as a pet or for catching mice"
cent,noun,IRS can't touch one cent.,"a unit of money worth 0.01 of a dollar , or a coin with this value"
centre,noun,"Headquarters personnel, report to command centre.","the middle point or part ""../../levels"""
century,noun,"Believe it or not, I studied 19th-century French poetry.",a period of 100 years
change,noun,What made you change your mind?,"to exchange one thing for another thing, especially of a similar type"
cheap,adjective,At least they were cheap.,costing little money or less than is usual or expected
cheese,noun,They call it a Royale with Cheese.,"a food made from milk , or from a milk-like substance taken from plants , that can be either firm or soft and is usually yellow or white in colour"
chicken,noun,Tell him about the chicken.,"a type of bird kept on a farm for its eggs or its meat , or the meat of this bird that is cooked and eaten"
child,noun,You're acting like a child.,"a boy or girl from the time of birth until he or she is an adult , or a son or daughter of any age"
chocolate,noun,Lots of chocolate for me to eat,"a sweet , usually brown , food made from cacao seeds , that is usually sold in a block and is often used as a flavour for desserts , drinks , etc"
choose,verb,Why did you choose me?,to decide what you want from two or more things or possibilities
cinema,noun,Shall we go to the cinema?,a theatre where people pay to watch films
city,noun,"In a crowded city, as I bump shoulders, I'm all alone.",a large town
class,noun,The next youngest guy in his class was half his age.,"a group of students who are taught together at school , college , or university"
clean,verb,Two suits for dry-clean and a bag of whatnot.,"free from any dirty marks , pollution , bacteria , etc"
clock,noun,You see that eye there in the clock?,"a device for measuring and showing time , usually found in or on a building and not worn by a person"
close,verb,Most new fish come close to madness the first night.,"to change from being open to not being open , or to cause something to do this"
club,noun,The country club will have his old timecards.,"an organization of people with a common purpose or interest , who meet regularly and take part in shared activities : | one of the four suits in playing cards , represented by a symbol with three round leaves"
coat,noun,Let me take your coat.,"an outer piece of clothing with sleeves that is worn over other clothes , usually for warmth"
coffee,noun,Would you like some coffee?,a dark brown powder with a strong flavour and smell that is made by crushing dark beans from a tropical bush and used to make a drink
cold,adjective,You'll catch your death of cold.,"at a low temperature , especially when compared to the temperature of the human body , and not hot , or warm"
college,noun,Did you go to college?,"a university , especially one where you study for an undergraduate (= first) degree"
colour,noun,What colour are my eyes?,"red , blue , green , yellow , etc"
come,verb,"Come on, come on, come on.",to move or travel towards the speaker or with the speaker
common,adjective,We have nothing in common.,the same in a lot of places or for a lot of people
company,noun,I didn't know you had company.,an organization that sells goods or services in order to make money
compare,verb,Shall I compare thee to a summer's day?,to examine or look for the difference between two or more things
complete,adjective,The circle is now complete.,to make whole or perfect
computer,noun,The city's central computer told you?,"an electronic machine that is used for storing , organizing , and finding words, numbers , and pictures , for doing calculations , and for controlling other machines"
concert,noun,She'll give you what you've come to get after the concert.,a performance of music by one or more musicians or singers
conversation,noun,I'm asking you to keep this conversation just between us.,"(a) talk between two or more people in which thoughts , feelings , and ideas are expressed , questions are asked and answered , or news and information is exchanged"
cook,verb,You might have to cook for 20 guys some day.,"When you cook food , you prepare it to be eaten by heating it in a particular way, such as baking or boiling , and when food cooks, it is heated until it is ready to eat"
cooking,noun,"As soon as I got home, I started cooking.",the activity of preparing or cooking food
cool,adjective,We're gonna be cool.,slightly cold
correct,adjective,"All present and correct, sir!",in agreement with the true facts or with what is generally accepted
cost,verb,How much does it cost?,"the amount of money needed for a business or to do a particular job : | the amount of money needed to buy , do, or make something"
could,modal verb,How could you do that?,"past simple of ""can"", used to talk about what someone or something was able or allowed to do"
country,noun,"For him, it began one lost night on a lonely country road looking for a shortcut that he never found.",an area of land with fixed borders that has full or limited control over its own government and laws
course,noun,"No, no, of course not.","a set of classes or a plan of study on a particular subject , usually leading to an exam or qualification"
cousin,noun,Second cousin to Harvey the Rabbit.,"a child of a person's aunt or uncle , or, more generally , a distant (= not close ) relation"
cow,noun,And we sat there all day as this old cow circled below.,a large female farm animal kept to produce meat and milk
create,verb,Let's create some space over there.,"to make something new, or invent something"
culture,noun,"That's the height of culture, I assure you.","the way of life , especially the general customs and beliefs , of a particular group of people at a particular time"
cup,noun,Would you like a cup of coffee?,"a small , round container , often with a handle , used for drinking tea , coffee , etc., or the drink that it contains"
customer,noun,The customer is always right.,a person who buys goods or a service
dad,noun,"Dad, what are you doing?",a father
dance,noun,Would you like to dance?,to move the body and feet to music
dancer,noun,You're a very good dancer.,someone who dances either as a job or for pleasure
dancing,noun,Was dancing to the jailhouse rock,the activity of moving the body and feet to music
dangerous,adjective,It can be a dangerous place.,"A dangerous person , animal , thing, or activity could harm you"
dark,adjective,It'll be dark soon.,with little or no light
date,noun,Here's a red-letter date in the history of science.,"a numbered day in a month , often given with a combination of the name of the day , the month , and the year"
daughter,noun,I want to meet your daughter.,your female child
day,noun,That'll be the day.,"a period in history : | a period of 24 hours , especially from twelve o'clock one night to twelve o'clock the next night"
dear,adjective,"Are you all right, dear?",loved or liked very much
decide,verb,You'll have to decide.,"to choose something, especially after thinking carefully about several possibilities"
delicious,adjective,It is entirely too delicious for my figure.,having a very pleasant taste or smell
describe,verb,"Mr. Dufresne, describe the confrontation you had with your wife the night she was murdered.",to say or write what someone or something is like
description,noun,I don't know anyone who fits that description.,something that tells you what something or someone is like
design,verb,Everything that has transpired has done so according to my design.,"to make or draw plans for something, for example clothes or buildings : | plans , often ones that are not honest , to get something or someone for yourself"
desk,noun,Why is a raven like a writing desk?,"a type of table that you can work at, often one with drawers"
detail,noun,As you know special detail carries with it special privileges.,a single piece of information or fact about something: | information about someone or something
die,verb,Do you want to die?,"to stop being alive , either suddenly or slowly"
diet,noun,"You got to go on a diet, Vinnie.",the food and drink usually eaten or drunk by a person or group
difference,noun,What difference does it make?,the way in which two or more things which you are comparing are not the same
different,adjective,Why should she be any different?,not the same
difficult,adjective,"It must be, that when I run into these terribly difficult walls,",needing skill or effort
dinner,noun,I'll see you at dinner.,"the main meal of the day , usually the meal you eat in the evening but sometimes, in Britain , the meal eaten in the middle of the day"
dirty,adjective,I love it when you talk dirty.,"marked with dirt , mud , etc., or containing something such as pollution or bacteria"
discuss,verb,We'll discuss it later.,to talk about a subject with someone and tell each other your ideas or opinions
dish,noun,We can't align the dish.,"all the plates , glasses , knives , forks , etc. that have been used during a meal : | a container , flatter than a bowl and sometimes with a lid , from which food can be served or which can be used for cooking"
do,auxiliary verb,What can I do for you?,"he/she/it form of do | used with another verb to form questions and negative sentences , including negative orders , and sometimes in affirmative sentences for reasons of style"
doctor,noun,What did the doctor say?,a person with a medical degree whose job is to treat people who are ill or hurt
dog,noun,You ain't nothin' but a hound dog,"a common animal with four legs , especially kept by people as a pet or to hunt or guard things"
dollar,noun,"And behind every shady deal behind every dollar earned there was Andy, keeping the books.","the standard unit of money used in the US, Canada, Australia , New Zealand, and other countries"
door,noun,There's someone at the door.,"a flat object that is used to close the entrance of something such as a room or building , or the entrance itself"
down,adverb,Why don't you sit down?,"in or towards a low or lower position , from a higher one"
draw,verb,He must let us draw the water from the well.,to make a picture of something or someone with a pencil or pen
dress,noun,Where did you get that dress?,"a piece of clothing that covers the top half of the body and hangs down over the legs , usually worn by women and girls"
drink,noun,Would you like something to drink?,"(an amount of) liquid that is taken into the body through the mouth : | a party at which you have drinks, especially alcoholic drinks"
drive,verb,You want me to drive?,"to move or travel on land in a motor vehicle , especially as the person controlling the vehicle's movement"
driver,noun,I'm sending the driver out on foot.,someone who drives a vehicle
during,preposition,It was during the war.,from the beginning to the end of a particular period
each,determiner,You two know each other?,"every thing, person , etc. in a group of two or more, considered separately"
ear,noun,"He slashed the cop's face, cut off his ear and was gonna burn him alive.","either of the two organs , one on each side of the head , by which people or animals hear sounds , or the piece of skin and tissue outside the head connected to this organ"
early,adjective,What are you doing up so early?,"near the beginning of a period of time , or before the usual , expected , or planned time"
east,adjective,To the East Side Movin' on up,"the direction from which the sun rises in the morning , opposite to the west , or the part of an area or country that is in this direction"
easy,adjective,That's easy for you to say.,needing little effort
eat,verb,Let's get something to eat.,"to put or take food into the mouth , chew it (= crush it with the teeth ) , and swallow it: | a small amount of food"
egg,noun,"Then one day, there's a big egg in it.","the oval object with a hard shell that is produced by female birds , especially chickens , sometimes eaten as food"
eight,number,"One, two, three, four, five, six, seven, eight.",the number 8
elephant,noun,When I see an elephant fly,a very large grey mammal that has a trunk (= long nose ) with which it can pick things up
else,adverb,What else do you want?,"used after words beginning with any- , every- , no- , and some- , or after how , what , where , who , why , but not which , to mean 'other', 'another', 'different', ' extra '"
end,noun,It's not the end of the world.,the part of a place or thing that is furthest away from the centre
enjoy,verb,"Until next time, try to enjoy the daylight.",to get pleasure from something
enough,adverb,That's good enough for me.,as much as is necessary ; in the amount or to the degree needed
evening,noun,"Good evening, ladies and gentlemen.",the part of the day between the end of the afternoon and night : | in the evening
event,noun,I backtracked everything to this one event.,"anything that happens , especially something important or unusual"
ever,adverb,How can I ever thank you?,at any time
every,determiner,Every day they're out there making DuckTales,used when referring to all the members of a group of three or more
everybody,pronoun,Where the hell is everybody?,→ everyone
everyone,pronoun,The love boat promises something for everyone.,every person
everything,pronoun,Everything will be all right.,all things
exam,noun,I may decide to set an exam this term.,a test of a student's knowledge or skill in a particular subject
example,noun,Let me give you an example.,something that is typical of the group of things that it is a member of
excited,adjective,Why are you so excited?,feeling very happy and enthusiastic
exciting,adjective,Stay tuned for exciting scenes from our next Gunsmoke.,making you feel excited
exercise,noun,This is not an exercise.,physical activity that you do to make your body strong and healthy
expensive,adjective,But this one is a little more expensive.,costing a lot of money
explain,verb,How do you explain that?,to make something clear or easy to understand by describing or giving information about it
extra,adjective,An extra bullet per lover right in the head.,added to what is normal
eye,noun,Keep an eye on him.,one of the two organs in your face that are used for seeing
face,noun,What happened to your face?,"the front of the head , where the eyes , nose , and mouth are"
fact,noun,"As a matter of fact, I do.","something that is known to have happened or to exist , especially something for which proof exists , or about which there is information"
false,adjective,Cleared of all these false charges.,"not real , but made to look or seem real"
family,adjective,It runs in the family.,"a group of people who are related to each other, such as a mother , a father , and their children"
famous,adjective,That was also when Warden Norton instituted his famous Inside Out program.,known and recognized by many people
fantastic,adjective,"Does that strike you as a fantastic coincidence, or is it just me?",extremely good
farm,noun,He just got off the honor farm.,"an area of land , together with a house and buildings , used for growing crops and/or keeping animals as a business"
farmer,noun,"Luke's just not a farmer, Owen.",someone who owns or takes care of a farm
fast,adjective,It all happened so fast.,"moving or happening quickly , or able to move or happen quickly"
father,noun,"Bless me, Father, for I have sinned.",a male parent
favourite,adjective,This is my favourite part.,best liked or most enjoyed
feeling,noun,Are you feeling all right?,"the fact of feeling something physical : | emotions , especially those influenced by other people"
festival,noun,They'll be the talk of the festival.,"a special day or period , usually in memory of a religious event , with its own social activities , food , or ceremonies"
few,adjective,I'd like to ask you a few questions.,"some, or a small number of something"
fifteen,number,She was then but fifteen years old.,the number 15
fifth,ordinal number,"In the fifth, your ass goes down.",5th written as a word
fifty,number,Playin' solitaire 'til dawn with a deck of fifty-one,the number 50
fill,verb,I'll fill you in later.,to make or become full ; to use empty space
film,noun,He's starring in that new film.,"a series of moving pictures , usually shown in a cinema or on television and often telling a story"
find,verb,How did you find me?,"to discover , especially where a thing or person is, either unexpectedly or by searching , or to discover where to get or how to achieve something"
fine,adjective,You're gonna be fine.,good or good enough; healthy and well
fire,noun,It was the year of fire.,"the state of burning that produces flames that send out heat and light , and might produce smoke"
first,ordinal number,First thing in the morning.,"(a person or thing) coming before all others in order , time , amount , quality , or importance"
fish,noun,Most new fish come close to madness the first night.,"an animal that lives in water , is covered with scales , and breathes by taking water in through its mouth , or the flesh of these animals eaten as food"
five,number,"One, two, three, four, five.",the number 5
flight,noun,Did you have a good flight?,a journey in an aircraft
floor,noun,Get down on the floor!,the flat surface of a room on which you walk
flower,noun,He cometh up and is cut down like a flower.,"the part of a plant that is often brightly coloured and has a pleasant smell , or the type of plant that produces these"
follow,verb,Why did you follow me?,"to move behind someone or something and go where he, she, or it goes"
food,noun,"To my knowledge, he lived out the rest of his days drinking his food through a straw.","something that people and animals eat , or plants absorb , to keep them alive"
foot,noun,I give my mother a foot massage.,the part of the body at the bottom of the leg on which a person or animal stands
football,noun,That's the length of five football fields.,"a game played between two teams of eleven people , where each team tries to win by kicking a ball into the other team's goal"
for,preposition,What can I do for you?,intended to be given to
forget,verb,And don't you forget it.,"to be unable to remember a fact , something that happened , or how to do something"
form,noun,The Babylon Project was a dream given form.,to begin to exist or to make something begin to exist
forty,number,Forty years I've been asking permission to piss.,the number 40
four,number,"One, two, three, four, five.",the number 4
fourth,ordinal number,"Fourth Reich fighting men, that's who we are",4th written as a word
Friday,noun,"Monday, Tuesday, Thursday, Wednesday, Friday, Sunday, Saturday.",the day of the week after Thursday and before Saturday
friend,noun,You're my best friend.,"a person who you know well and who you like a lot, but who is usually not a member of your family"
friendly,adjective,I'm just trying to be friendly.,"behaving in a pleasant , kind way towards someone"
from,preposition,What do you want from me?,used to show the place where someone or something starts
front,adjective,Right in front of you.,"the part of a building , object , or person's body that faces forward or is most often seen or used"
fruit,noun,"Blessed is the fruit of thy womb, Jesus.","the soft part ""../../levels""containing seeds that is produced by a plant . Many types of fruit are sweet and can be eaten"
full,adjective,You're full of shit.,(of a container or a space ) holding or containing as much as possible or a lot
funny,adjective,What's so funny about that?,humorous ; causing laughter
game,noun,It's part of the game.,"an entertaining activity or sport , especially one played by children , or the equipment needed for such an activity"
garden,noun,He will be saying prayers in the garden.,"a piece of land next to and belonging to a house , where flowers and other plants are grown , and often containing an area of grass"
get,verb,Let's get out of here.,"to obtain , buy , or earn something"
girl,noun,Is it a boy or a girl?,"a female child or young woman, especially one still at school : | a group of female friends"
girlfriend,noun,I'll get a message to that girlfriend when the time is right.,a woman or girl who a person is having a romantic or sexual relationship with
give,verb,Let me give you a hand.,"to offer something to someone, or to provide someone with something"
glass,noun,Would you like a glass of wine?,"a hard, transparent material , used to make windows , bottles , and other objects"
go,verb,Where do you want to go?,he/she/it form of go | to travel or move to another place
good,adjective,It's good to see you.,"things for sale , or the things that you own: | very satisfactory , enjoyable , pleasant , or interesting"
goodbye,exclamation,I've come to say goodbye.,used when someone leaves
grandfather,noun,"Her grandfather, an old vaudevillian, taught her.",the father of a person's mother or father
grandmother,noun,"After the war was over, he paid a visit to your grandmother, delivering to your infant father his dad's gold watch.",the mother of a person's father or mother
great,adjective,This is gonna be great.,"large in amount , size , or degree"
green,noun,He maketh me to lie down in green pastures.,of a colour between blue and yellow ; of the colour of grass
grey,adjective,"Grey, do you read me?","of the colour that is a mixture of black and white , the colour of rain clouds"
group,noun,Subtitles by SDI Media Group,a number of people or things that are put together or considered as a unit
grow,verb,Why don't you grow up?,"to increase in size or amount , or to become more advanced or developed"
guess,noun,"Yeah, I guess you're right.",to give an answer to a particular question when you do not have all the facts and so cannot be certain if you are correct
guitar,noun,Was play my guitar and sing,"a musical instrument , usually made of wood , with six strings and a long neck , played with the fingers or a plectrum"
gym,noun,I want to quit the gym.,"a place or club where you can go to exercise using machines , weights , and other equipment"
hair,noun,What happened to your hair?,"the mass of thin thread-like structures on the head of a person , or any of these structures that grow out of the skin of a person or animal"
happen,verb,It'll never happen again.,(of a situation or an event ) to have existence or come into existence
happy,adjective,I'm so happy to see you.,"feeling , showing , or causing pleasure or satisfaction"
hard,adjective,I find that hard to believe.,"not easy to bend , cut , or break"
hat,noun,Where did you get that hat?,a covering for the head that is not part of a piece of clothing : | to dislike someone or something very much
have,verb,You have the right to remain silent.,used with the past participle of other verbs to form the present perfect and past perfect
he,pronoun,I don't know where he is.,"used as the subject of a verb to refer to a man, boy , or male animal that has already been mentioned"
head,noun,Put your hands on your head.,"the side of a coin that has a picture of someone's head on it: | the part of the body above the neck where the eyes , nose , mouth , ears , and brain are"
health,noun,In sickness and in health.,"the condition of the body and the degree to which it is free from illness , or the state of being well"
healthy,adjective,You're only as healthy as you feel.,strong and well
hear,verb,Did you hear what I said?,to receive or become conscious of a sound using your ears
hello,exclamation,"Hello, Hal, do you read me?",used when meeting or greeting someone
help,verb,"Here, let me help you.","to make it possible or easier for someone to do something, by doing part of the work yourself or by providing advice , money , support , etc"
her,determiner,What's the matter with her?,"the one(s) belonging to or connected with a woman, girl , or female animal that has been mentioned or is known about: | used, usually as the object of a verb or preposition , to refer to a woman, girl , or female animal that has just been mentioned or is just about to be mentioned"
here,adverb,What are you doing here?,"in, at, or to this place"
hey,exclamation,"Hey, what are you doing?","used as a way of attracting someone's attention , sometimes in a way that is not very polite"
hi,exclamation,"Hi, nice to meet you.","belonging to or connected with a man, boy , or male animal that has just been mentioned or is known about: | used as an informal greeting , usually to people who you know"
him,pronoun,What's the matter with him?,"used, usually as the object of a verb or preposition , to refer to a man, boy , or male animal that has just been mentioned or is just about to be mentioned"
history,noun,They're a page right out of history,"(the study of or a record of) past events considered together, especially events of a particular period , country , or subject"
holiday,noun,It's a jolly holiday with Mary,"a time when someone does not go to work or school but is free to do what they want , such as travel or relax"
homework,noun,Did you do your homework?,work that teachers give their students to do at home
horse,noun,"But I sure do love that winning horse of mine, though.",a large animal with four legs that people ride on or use for carrying things or pulling vehicles
hospital,noun,I have to go to the hospital.,a place where people who are ill or injured are treated and taken care of by doctors and nurses
hot,adjective,You don't look so hot.,having a high temperature
hotel,noun,"Hotel One Actual, this is Cowboy.","a building where you pay to have a room to sleep in, and where you can sometimes eat meals"
hour,noun,I'll be back in an hour.,the amount of time during the day or week that you work : | a period of 60 minutes
house,noun,Get out of my house!,"a building that people , usually one family , live in"
how,adverb,How do you know that?,"in what way, or by what methods"
however,adverb,"And follow every order, however ridiculous.",despite whatever amount or degree
hundred,number,More than a hundred men volunteered for the job.,"numbers between 100 and 1,000: | the number 100"
hungry,adjective,I thought you might be hungry.,wanting or needing food
husband,noun,I now pronounce you husband and wife.,the man that you are married to
ice,noun,"I scream, you scream, we all scream for ice cream.","water that has frozen and become solid , or pieces of this"
idea,noun,Whatever gave you that idea?,a suggestion or plan for doing something
if,conjunction,If you'll excuse me.,used to say that a particular thing can or will happen only after something else happens or becomes true
imagine,verb,I imagine it appealed to his meticulous nature.,to form or have a mental picture or idea of something
important,adjective,That's the most important thing.,necessary or of great value
improve,verb,"Let's see if we can improve this with a little water, sir.",to ( cause something to) get better
in,preposition,I'll be back in a minute.,"written abbreviation for inches | inside a container , place , or area , or surrounded or closed off by something"
include,verb,Your responsibilities include watching over the men in hibernation.,"to contain something as a part of something else , or to make something part of something else"
information,noun,Thank you for the information.,"facts about a situation , person , event , etc"
