word,class,sentence,word_mean
appearance,noun,Your appearance is exactly the way I imagined.,an occasion when someone appears in public
apply,verb,Does that apply to technical units?,"to request something, usually officially , especially in writing or by sending in a form"
argue,verb,I don't want to argue with you.,"to speak angrily to someone, telling that person that you disagree with them"
argument,noun,"We had an argument, so I had to straighten him out.","a disagreement , or the process of disagreeing"
army,noun,Two of the men were colonels in the South Vietnamese army.,a particular country's fighting force
arrange,verb,Barzini wants to arrange a meeting.,"to plan , prepare for, or organize something"
arrangement,noun,I have an arrangement with an officer on the other side of the ship.,a plan for how something will happen
asleep,adjective,I'm asleep and dreaming I'm on this shitty boat.,sleeping or not awake
assistant,adjective,And have you ever had an assistant?,someone who helps someone else to do a job
attack,noun,You almost gave me a heart attack.,to try to hurt or defeat using violence
attend,verb,I have business to attend to.,"to go to an event , place , etc"
attention,exclamation,"May I have your attention, please?","notice , thought , or interest"
attractive,adjective,Do you find me attractive?,very pleasing in appearance or sound
audience,noun,Cheers is filmed before a live studio audience.,"the group of people together in one place to watch or listen to a play , film , someone speaking , etc"
available,adjective,'Medium atomic weights are available.,able to be bought or used
average,adjective,"If you'd been an ordinary, average father, like the other guys' dads, you'd have understood that.",the result you get by adding two or more amounts together and dividing the total by the number of amounts
avoid,verb,The other New York families might support Sollozzo to avoid a long war.,to stay away from someone or something
award,noun,It is my pleasure to present this award to Detective Lieutenant Edmund Exley two-time Medal of Valor recipient.,to give money or a prize following an official decision
awful,adjective,They can't escape their awful fate from Proton's mighty fury.,extremely bad or unpleasant
background,noun,"The character I played, Raven McCoy, her background was she grew up raised by circus performers.",the things that can be seen behind the main things or people in a picture
badly,adverb,I've never seen so many men wasted so badly.,in a severe and harmful way
bar,noun,I'll be in the bar.,"a place , either a separate building or business or part of another building such as a hotel , where drinks , especially alcoholic drinks , are sold and drunk"
baseball,noun,"When we re-enlist, I'll teach them baseball.","a game played especially in North America by two teams of nine players , in which a player hits a ball with a bat (= stick ) and tries to run around four bases on a large field before the other team returns the ball"
based,adjective,You don't judge shit like this based on merit.,"used to form adjectives showing the main place or area in which something or someone works , lives , or does business"
basketball,noun,You play basketball for the Los Angeles Lakers.,a game played by two teams of five players who score points by throwing a large ball through an open net hanging from a metal ring
bear,noun,I'll bear that in mind.,"to accept , tolerate , or endure something, especially something unpleasant"
beef,noun,They got a beef going back to the Sun Ray thing.,"the flesh of cattle (= cows ) , eaten as food"
before,adverb,Cheers is filmed before a live studio audience.,at or during a time earlier than (the thing mentioned )
behave,verb,We can at least behave like civilized people.,to act in a particular way
belong,verb,Who does it belong to?,to be in the right place or a suitable place
belt,noun,Put your seat belt on.,a strip of leather or material worn around the waist to support clothes or for decoration
between,adverb,This is between you and me.,"in or into the space that separates two places , people , or objects"
billion,number,Real estate worth six billion dollars.,"the number 1,000,000,000"
birth,noun,Is there life after birth,the time when a baby or young animal comes out of its mother's body
bit,noun,"Marking it with twin circles, I feel a bit more grown-up!",to use your teeth to cut into something or someone: | a small piece or amount of something
blank,adjective,"It was blank, but the postmark said Fort Hancock, Texas.","empty or clear , or containing no information or mark"
blood,noun,I have inside me blood of kings,"the red liquid that is sent around the body by the heart , and carries oxygen and important substances to organs and tissue , and removes waste products"
blow,verb,Looked like a stiff breeze would blow him over.,"to move and make currents of air , or to be moved or make something move on a current of air"
bone,noun,"Tattooing around the head wound, scorched bone, close range.",any of the hard parts inside a human or animal that make up its frame
borrow,verb,Can we borrow Mrs. Torrance?,to get or receive something from someone with the intention of giving it back after a period of time
boss,noun,The boss wants to see you.,the person who is in charge of an organization and who tells others what to do
bottom,adjective,"From the bottom of my heart, I salute you.",the lowest part of something
bowl,noun,"If Butch goes to Indochina, I want a nigger hiding in a bowl of rice... ready to pop a cap in his ass.",a rounded container that is open at the top and is deep enough to hold food or small objects
brain,noun,"All right, but you should know that sudden, serious brain injury causes the victim to bite down hard.","the most intelligent person in a group , especially the person who plans what the group will do: | the organ inside the head that controls thought , memory , feelings , and activity"
bridge,noun,"You have the Bridge, Number One.","a structure that is built over a river , road , or railway to allow people and vehicles to cross from one side to the other"
bright,adjective,Look on the bright side.,"full of light , shining"
brilliant,adjective,It was a brilliant bit of soldiering.,extremely intelligent or skilled
broken,adjective,"A broken bourbon bottle, likewise with fingerprints.",past participle of break
brush,noun,Did you brush your teeth?,"an object with short pieces of stiff hair , plastic , or wire attached to a base or handle , used for cleaning , arranging your hair , or painting"
button,noun,Push the button if you want to talk.,"a small , usually circular object used to fasten something, for example a shirt or coat"
camp,noun,The camp started falling apart.,a place where people stay in tents or other temporary structures
can,noun,What can I do for you?,to be able to: | → headphones
care,noun,I'll take care of it.,the process of protecting someone or something and providing what that person or thing needs
careful,adjective,We have to be careful.,"giving a lot of attention to what you are doing so that you do not have an accident , make a mistake , or damage something"
carefully,adverb,Listen to me very carefully.,with great attention
carpet,noun,20 dwarves took turns doing handstands on the carpet.,(a shaped piece of) thick material used for covering floors
case,noun,"But I can't give you this case, 'cause it don't belong to me.",a particular situation or example of something
cash,noun,I need a million dollars in cash.,money in the form of notes and coins
castle,noun,"I am Adam, Prince of Eternia and defender of the secrets of Castle Grayskull.","a large strong building , built in the past by a ruler or important person to protect the people inside from attack"
cause,noun,"I take care of both of them, which ain't easy, 'cause when they met, it was murder.","the reason why something, especially something bad , happens"
celebrate,verb,We're going to celebrate.,to take part in special enjoyable activities in order to show that a particular occasion is important
certain,adjective,I'm known to locate certain things from time to time.,"having no doubt or knowing exactly that something is true , or known to be true , correct , exact , or effective"
certainly,adverb,"Sure it is, but not to me, and certainly not to the warden.",used to reply completely or to emphasize something and show that there is no doubt about it
chance,noun,This is your last chance.,an occasion that allows something to be done
character,noun,Respect for one's elders shows character.,the particular combination of qualities in someone or something that makes them or it different from others
charity,noun,"He made deals with book clubs, charity groups.","an organization whose purpose is to give money , food , or help to those who need it, or to carry out activities such as medical research that will help people in need, and not to make a profit"
chat,noun,We'll have a little chat.,to talk to someone in a friendly informal way
check,noun,We'll check it out.,"to make certain that something or someone is correct , safe , or suitable by examining it, him, or her quickly"
chef,noun,My compliments to the chef.,"a skilled and trained cook who works in a hotel or restaurant , especially the most important cook"
chip,noun,Ch-Ch-Ch-Chip 'n Dale,"potato chip | a long , thin piece of potato that is fried and usually eaten hot"
choice,noun,You leave me no choice.,an act or the possibility of choosing
church,noun,My wife made that in church group.,a building for Christian religious activities
cigarette,noun,Would you care for a cigarette?,a small paper tube filled with cut pieces of tobacco that people smoke
circle,verb,Give me a slow circle of the complex.,"a continuous curved line , the points of which are always the same distance away from a fixed central point , or the area inside such a line"
clear,adjective,I read you loud and clear.,"easy to understand , hear , read , or see"
clearly,adverb,Clearly meant to draw more of his supporters here.,"in a way that is easy to see , hear , read , or understand"
clever,adjective,"He's quite clever, you know, for a human being.",having or showing the ability to learn and understand things quickly and easily
closed,adjective,"Closed-Captioned By J.R. Media Services, Inc.",not open
clothing,noun,The Arabs need food and clothing.,"clothes , especially clothes of a particular type or those worn in a particular situation"
cloud,noun,And we'll fly through the day on our cloud machine as well!,"a grey or white mass in the sky , made up of very small floating drops of water"
coach,noun,Coach is filmed before a studio audience.,"someone whose job is to teach people to improve at a sport , skill , or school subject"
coast,noun,"And as in other towns up and down the coast,",the land next to or close to the sea
code,noun,Some kind of code these guys used in the can.,"a system of words, letters , or signs used to represent a message in secret form , or a system of numbers , letters , or signals used to represent something in a shorter or more convenient form"
colleague,noun,I'm sure we all agree with our esteemed colleague.,one of a group of people who work together
collect,verb,But you don't look like the one who'll collect it.,to get and keep things of one type such as stamps or coins as a hobby
column,noun,"Well, there's a Turkish column in front of him, out of Mazril.",one of several vertical blocks of print into which a page of a newspaper or magazine is divided
comedy,noun,"Majesty, it is only a comedy.","a ( type of) film , play , or book that is intentionally funny either in its characters or its action"
comfortable,adjective,You'll be more comfortable.,Comfortable furniture and clothes provide a pleasant feeling and do not give you any physical problems
communicate,verb,which we must now communicate to you.,"to share information with others by speaking , writing, moving your body , or using other signals"
community,noun,We're providing a valuable community service.,"the people living in one particular area or people who are considered as a unit because of their common interests , social group , or nationality"
competition,noun,"My fellow shareholders, if Europe and America can learn to co-operate, if we can learn to pool our wealth, share our markets, we can defeat any competition anywhere in the world.",a situation in which someone is trying to win something or be more successful than someone else
complain,verb,You bitch and you complain and you tell me these things.,to say that something is wrong or not satisfactory
completely,adverb,And now for something completely different.,in every way or as much as possible
condition,noun,He really is in first-class condition.,the physical situation that someone or something is in and affected by: | the particular state that something or someone is in
conference,noun,Where is the peace conference?,"an event , sometimes lasting a few days , at which there is a group of talks on a particular subject , or a meeting in which especially business matters are discussed formally"
connect,verb,How do you connect those two?,to join or be joined with something else
connected,adjective,"Aknot, we are connected to Earth.","(of wires , pipes , devices , etc.) joined together"
consider,verb,We now consider the matter closed.,to spend time thinking about a possibility or making a decision
continue,verb,"It began with a closed, deserted diner and a man too long without sleep to continue his journey.","to keep happening , existing , or doing something, or to cause something or someone to do this"
control,noun,The situation is under control.,"devices that are used to operate a machine , vehicle , or aircraft : | to order , limit , or rule something, or someone's actions or behaviour"
copy,noun,"Commander Skywalker, do you copy?",to intentionally make or do something that is the same as an original piece of work
corner,noun,It's right around the corner.,"the point , area , or line that is formed by the meeting of two lines , surfaces , roads , etc"
couple,noun,I'll be back in a couple of hours.,"two or a few things that are similar or the same, or two or a few people who are in some way connected"
crazy,adjective,You're driving me crazy.,stupid or not reasonable
crime,noun,Freed him to search for a one-armed man he saw leave the scene of the crime.,illegal activities
cross,noun,Cross my heart and hope to die.,to go across from one side of something to the other
crowd,noun,And the crowd goes wild.,a large group of people who have come together
crowded,adjective,"In a crowded city, as I bump shoulders, I'm all alone.","If a place is crowded, it is full of people"
danger,noun,Your life is in danger.,the possibility of harm or death to someone
data,noun,"Data, are you all right?","information , especially facts or numbers , collected to be examined and considered and used to help decision-making, or information in an electronic form that can be stored and used by a computer"
dead,adjective,We thought you were dead.,not now living
death,noun,It's a matter of life and death.,the end of life
decision,noun,You made the right decision.,a choice that you make about something after thinking about several possibilities
deep,adjective,"Deep Core, do you read?","going or being a long way down from the top or surface , or being of a particular distance from the top to the bottom"
definitely,adverb,"He's definitely on Sollozzo's payroll, and for big money.",without any doubt
degree,noun,A law degree is like taking out insurance.,(an) amount or level of something
department,noun,This is the Los Angeles Police Department.,"a part of an organization such as a school , business , or government that deals with a particular area of study or work"
depend,verb,You can depend on me.,to be decided by or to change according to the stated thing
desert,noun,Was it hard crossing the desert?,"an area , often covered with sand or rocks , where there is very little rain and not many plants"
destroy,verb,"You're going out there to destroy them, right?",to damage something so badly that it cannot be used
detective,noun,"Do you hear me, Detective?",someone whose job is to discover information about crimes and find out who is responsible for them
develop,verb,Dr. Sam Beckett led an elite group of scientists into the desert... to develop a top secret project known as Quantum Leap.,"to ( cause something to) grow or change into a more advanced , larger , or stronger form"
device,noun,I've designed this tracking device.,an object or machine that has been invented for a particular purpose
diary,noun,You have the diary in your pocket.,a book in which you record your thoughts or feelings or what has happened each day
differently,adverb,"People looked at me differently, and they knew I was with somebody.",in a way that is not the same
direct,adjective,How may I direct your call?,going in a straight line towards somewhere or someone without stopping or changing direction
direction,noun,That's a step in the right direction.,the position towards which someone or something moves or faces : | instructions that you give to someone about how to find a particular place
director,noun,The mission director was not universally loved.,"a manager of an organization , company , college , etc"
disappear,verb,Where did you disappear to?,"If people or things disappear, they go somewhere where they cannot be seen or found"
disaster,noun,It's caused nothing but disaster.,"(an event that results in) great harm , damage , or death , or serious difficulty"
discover,verb,You have only begun to discover your power.,"to find information , a place , or an object , especially for the first time"
discovery,noun,What's so great about discovery?,"the process of finding information , a place , or an object , especially for the first time , or the thing that is found"
discussion,noun,Do you want to continue this theological discussion in a car... or in a jailhouse with the cops?,the activity in which people talk about something and tell each other their ideas or opinions
disease,noun,He put his disease in me.,"(an) illness of people , animals , plants , etc., caused by infection or a failure of health rather than by an accident"
distance,noun,So this big-shot lawyer calls me long-distance from Texas.,the amount of space between two places
divorced,adjective,Can two divorced men share an apartment without driving each other crazy?,married in the past but not now married
document,noun,Round up all suspicious characters and search them for stolen document.,"a paper or set of papers with written or printed information , especially of an official type"
double,verb,Make sure your man double-bags.,"twice the size , amount , price , etc., or consisting of two similar things together"
downstairs,adjective,I'll wait for you downstairs.,"to or on a lower floor of a building , especially the ground floor"
drama,noun,Some of the most enjoyable drama in the world.,"a type of film or TV programme that tells an exciting and generally serious story , as opposed to one that is mainly intended to be funny or entertaining"
drawing,noun,I would like to see my drawing.,"the act of making a picture with a pencil or pen , or a picture made in this way"
dream,noun,Did you have a bad dream?,a series of events or images that happen in your mind when you are sleeping
driving,noun,What are you driving at?,"the ability to drive a car , the activity of driving, or the way someone drives"
drug,noun,He's not your ordinary drug dealer.,any natural or artificially made chemical that is used as a medicine
dry,adjective,Two suits for dry-clean and a bag of whatnot.,"used to describe something that has no water or other liquid in, on, or around it"
earn,verb,How much do you earn?,to receive money as payment for work that you do
earth,noun,What on earth are you talking about?,"the planet third in order of distance from the sun , between Venus and Mars ; the world on which we live"
easily,adverb,Easily dispersed if we strike the shepherd.,with no difficulty or effort
education,noun,Perhaps we can find something more befitting a man of your education.,"the process of teaching or learning , especially in a school or college , or the knowledge that you get from this"
effect,noun,Or words to that effect.,"the result of a particular influence : | lighting , sounds , and objects that are specially produced for the stage or a film and are intended to make something that does not exist seem real"
either,adverb,"That's good, son, 'cause you either surf or fight.","used in negative sentences instead of ""also"" or ""too"""
electric,adjective,Arrest them for not paying their electric bill?,using electricity for power
electricity,noun,Why is there no electricity?,"a form of energy that can be produced in several ways and that provides power to devices that create light , heat , etc"
empty,adjective,But still the place you live in is that much more drab and empty that they're gone.,not containing any things or people
ending,noun,I pledge my ever-ending loyalty.,the last part of a story
energy,noun,Reroute all power to the energy shield.,the power and ability to be physically and mentally active
engine,noun,The next stop will be the engine room.,a machine that uses the energy from liquid fuel or steam to produce movement
engineer,noun,Once upon a time I was a hell of an engineer.,"a person whose job is to design or build machines , engines , or electrical equipment , or things such as roads , railways , or bridges , using scientific principles"
enormous,adjective,"Hal, despite your enormous intellect, are you ever frustrated by your dependence on people to carry out actions?",extremely large
enter,verb,Waiting for us to enter.,to come or go into a particular place
environment,noun,Not in an environment such as this.,"the air , water , and land in or on which people , animals , and plants live"
equipment,noun,"Some new, specialized weather-sensing equipment.","the set of necessary tools , clothing , etc. for a particular purpose"
error,noun,It can only be attributable to human error.,a mistake
especially,adverb,Especially if you don't have anything to drink.,very much; more than usual or more than other people or things
everyday,adjective,"No, we're talking about everyday life here.","ordinary , typical , or usual"
everywhere,adverb,I've been looking for you everywhere.,"to, at, or in all places or the whole of a place"
evidence,noun,"Ladies and gentlemen, you've heard all the evidence.","facts , information , documents , etc. that give reason to believe that something is true"
exact,adjective,"We're giving her a shot in the heart, so it's gotta be exact.","in great detail , or complete , correct , or true in every way"
exactly,adverb,I know exactly how you feel.,used when you are giving or asking for information that is completely correct
excellent,adjective,We are making excellent time.,extremely good
exist,verb,"He doesn't exist, except on paper.","to be, or to be real"
expect,verb,What do you expect me to do?,"to think or believe something will happen , or someone will arrive"
experience,noun,You are about to experience the awe and mystery which reaches from the inner mind to...,"(the process of getting) knowledge or skill from doing, seeing , or feeling things"
expert,adjective,The black girl was a demolition expert.,a person with a high level of knowledge or skill relating to a particular subject or activity
explanation,noun,You owe me an explanation.,the details or reasons that someone gives to make something clear or easy to understand
express,verb,Allow me to express the reason.,"to show a feeling , opinion , or fact"
expression,noun,Look at the expression on his face.,the act of saying what you think or showing how you feel using words or actions
extreme,adjective,"The victim is in extreme pain, Rampart.",very large in amount or degree
extremely,adverb,I know I've never completely freed myself of the suspicion that there are some extremely odd things about this mission.,very
factory,noun,The roof of the license-plate factory needs resurfacing.,a building or set of buildings where large amounts of goods are made using machines
fail,verb,That is why you fail.,to not succeed in what you are trying to achieve or are expected to do
fair,adjective,You're not being fair.,"treating someone in a way that is right or reasonable , or treating a group of people equally and not allowing personal opinions to influence your judgment"
fall,noun,I told them to fall back.,"to suddenly go down onto the ground or towards the ground without intending to or by accident : | often used in place names to mean a very wide waterfall , often made of many separate waterfalls"
fan,noun,He's a big fan of yours.,"someone who admires and supports a person , sport , sports team , etc"
fashion,noun,And I raised my daughter in the American fashion.,"a style that is popular at a particular time , especially in clothes , hair , make-up , etc"
fat,noun,"What is your malfunction, you fat barrel of monkey spunk?",having a lot of flesh on the body
fear,noun,You have nothing to fear.,"an unpleasant emotion or thought that you have when you are frightened or worried by something dangerous , painful , or bad that is happening or might happen"
feed,verb,"Sometimes after work, I go to the park and feed the birds.","to give food to a person , group , or animal"
female,adjective,It was a show about a team of female secret agents called Fox Force Five.,belonging or relating to women or girls
field,noun,The field is strong enough to deflect any bombardment.,"an area of land , used for growing crops or keeping animals , usually surrounded by a fence"
fight,noun,Do you want to fight?,to use physical force to try to defeat another person or group of people
figure,noun,How do you figure that?,the symbol for a number or an amount expressed in numbers
final,noun,This is your final warning.,the last set of games in a competition : | last
finally,adverb,We finally got a piece of the pie,after a long time or some difficulty
finger,noun,I can't put my finger on it.,"any of the long , thin , separate parts of the hand , especially those that are not thumbs"
finish,noun,You didn't let me finish.,to complete something or come to the end of an activity
fishing,noun,The boys always go fishing with first-timers.,the sport or job of catching fish
fit,adjective,Fit as a fiddle And ready for love,to be the right size or shape to go into a particular space
flat,adjective,I don't think I've ever seen such a flat calm.,"level and smooth , with no curved , high, or hollow parts"
fly,noun,Let me fly far away from here,"plural of fly | When a bird , insect , or aircraft flies, it moves through the air"
flying,adjective,Flying away on a wing and a prayer,travel by air
focus,noun,We can change the focus to a soft blur or sharpen it to crystal clarity.,"the main or central point of something, especially of attention or interest"
foreign,adjective,So does a lady wrestler with a foreign accent.,belonging or connected to a country that is not your own
forest,noun,Parts and technical crew for the forest moon.,"a large area of land covered with trees and plants , usually larger than a wood , or the trees and plants themselves"
formal,adjective,It's a formal thank-you note and a great big apology.,public or official
fortunately,adverb,"Fortunately, contact with his own time was maintained... through brain wave transmissions with Al, the project observer, who appeared in the form of a hologram that only Dr. Beckett can see and hear.",happening because of good luck
fresh,adjective,"Every so often, Andy would show up with fresh bruises.",new or different
frog,noun,"You know, Frog Face, you just fucked yourself.","a small animal that has smooth skin , lives in water and on land , has long powerful back legs with which it jumps from place to place , has no tail , and is usually greenish-brown in colour"
fun,adjective,Are you making fun of me?,"pleasure , enjoyment , or entertainment"
furniture,noun,I'm just trying to sell the furniture.,"things such as chairs , tables , beds , cupboards , etc. that are put into a house or other building to make it suitable and comfortable for living or working in"
further,adjective,"No further questions, Your Honor.","comparative of far : to a greater distance or degree , or at a more advanced level"
future,adjective,Take me to the future of your world,a period of time that is to come
gas,noun,We're out of gas.,written abbreviation for the US state of Georgia: used in addresses | a substance in a form like air that is neither solid nor liquid
gallery,noun,"Man, it's a shooting gallery down there.","a room or building that is used for showing works of art , sometimes so that they can be sold"
gate,noun,The horses are at the gate.,"a part of a fence or outside wall that is fixed at one side and opens and closes like a door , usually made of metal or wooden strips"
general,adjective,"Harm transferred to the Navy's Judge Advocate General Corps, which investigates, defends and prosecutes the law of the sea.","involving or relating to most or all people , things, or places , especially when these are considered as a unit"
gift,noun,"The IRS allows a one-time-only gift to your spouse for up to 60,000.",a present or something that is given
goal,noun,Its goal: to prevent another war by creating a place where humans and aliens could work out their differences.,"an area on a playing field , that usually has two posts with a net fixed behind them, where players try to send the ball in order to score in sports such as football and hockey"
god,noun,Thank God you're here.,"a spirit or being believed to control some part of the universe or life and often worshipped for doing so, or something that represents this spirit or being: | the seats in a theatre that are at the highest level and the furthest from the stage"
gold,adjective,"Red Leader, this is Gold Leader.","a chemical element that is a valuable , shiny , yellow metal used to make coins and jewellery"
golf,noun,Caught his wife in bed with some golf pro.,"a game played outside on grass in which each player tries to hit a small ball into a series of nine or 18 small holes , using a long , thin stick"
government,noun,"Today, still wanted by the government... they survive as soldiers of fortune.",the group of people who officially control a country
grass,noun,Our cavalry will ride them down like grass.,"a low , green plant that grows naturally over a lot of the earth's surface , having groups of very thin leaves that grow close together in large numbers"
greet,verb,Be there to greet him.,"to welcome someone with particular words or a particular action , or to react to something in the stated way"
ground,noun,Get down on the ground!,the gardens and land that surround a building and often have a wall or fence around them: | the surface of the earth
guest,noun,He's the guest of honor.,"a person who is staying with you, or a person you have invited to a social occasion , such as a party or a meal"
guide,verb,"His only guide on this journey is Al, an observer from his own time, who appears in the form of a hologram that only Sam can see and hear.",a book that gives you the most important information about a particular subject
gun,noun,What are you doing with that gun?,a weapon that bullets or shells (= explosive containers ) are fired from: | arms with large muscles
guy,noun,You got the wrong guy.,a man: | used to address a group of people of either sex
habit,noun,It's just a matter of settling into the habit of writing every day.,"something that you do often and regularly , sometimes without knowing that you are doing it"
half,adverb,You don't know the half of it.,either of the two equal or nearly equal parts that together make up a whole
hall,noun,Thanks for the use of the hall.,"the area just inside the main entrance of a house , apartment , or other building that leads to other rooms and usually to the stairs"
happily,adverb,And they lived happily ever after.,in a happy way
headache,noun,You're giving me a headache.,a pain you feel inside your head
heart,noun,You're breaking my heart.,"one of the four suits in playing cards , represented by a red heart shape : | the organ in your chest that sends the blood around your body"
heat,noun,In the heat of the night,"the quality of being hot or warm , or the temperature of something"
heavy,adjective,'Transuranic heavy elements may not be used where there is life.,"weighing a lot, and needing effort to move or lift"
height,noun,Up to the highest height,"high places , or the top of hills : | the distance from the top to the bottom of something, or the quality of being tall"
helpful,adjective,You've been very helpful.,"willing to help , or useful"
hero,noun,"Roger Ramjet, he's our man, Hero of our nation.",plural of hero | a person who is admired for having done something very brave or having achieved something great
herself,pronoun,She's one lady who knows how to take care of herself.,"used to refer to a female object of a verb , that is the same person or animal as the subject of the verb"
hide,verb,Where did you hide it?,"to put something or someone in a place where that thing or person cannot be seen or found , or to put yourself somewhere where you cannot be seen or found"
hill,noun,"You know, one time we had a hill bombed for 12 hours.",an area of land that is higher than the surrounding land
himself,pronoun,He can take care of himself.,used to refer to a male object of a verb that is the same person or animal as the subject of the verb
hit,verb,Why did you hit me?,"to move your hand or an object onto the surface of something so that it touches it, usually with force"
hole,noun,Bogs spent a week in the hole.,"an empty space in an object , usually with an opening to the object's surface , or an opening that goes completely through an object"
home,adjective,Why don't you go home?,"the house , apartment , etc. where you live , especially with your family"
hope,noun,I hope you know what you're doing.,"to want something to happen or to be true , and usually have a good reason to think that it might"
huge,adjective,"But in that darkness, fate moves its huge hand.",extremely large in size or amount
human,adjective,You have to be human first.,"being, relating to, or belonging to a person or to people as opposed to animals"
hurt,adjective,I'm not going to hurt you.,"to feel pain in a part of your body , or to injure someone or cause them pain"
ideal,adjective,Your knowledge of English makes you an ideal choice to go into his service and find out whether or not he is a spy.,"perfect , or the best possible"
identify,verb,"Come down and identify yourselves, please.",to recognize someone or something and say or prove who or what that person or thing is
ill,adjective,I think you're gonna find that this was very ill-advised.,"not feeling well, or suffering from a disease"
illness,noun,Have you been receiving medical treatment for any serious illness?,a disease of the body or mind
image,noun,We can deluge you with a thousand channels... or expand one single image to crystal clarity... and beyond.,a picture in your mind or an idea of how someone or something is
immediately,adverb,All personnel must evacuate immediately.,now or without waiting or thinking
impossible,adjective,They put the army in an impossible situation where they couldn't win.,"If an action or event is impossible, it cannot happen or be achieved"
including,preposition,"Year after that, he did them all including the warden's.",used for saying that a person or thing is part of a particular group or amount
increase,noun,"R2, try and increase the power.","to become larger in amount or size , or to make something do this"
incredible,adjective,Incredible how lucky some assholes get.,"impossible , or very difficult , to believe"
independent,adjective,Give them artillery and you've made them independent.,"not influenced or controlled in any way by other people , events , or things"
individual,adjective,"As time goes by and his position becomes stronger, will he attempt any individual vendetta?","a single person or thing, especially when compared to the group or set to which they belong"
industry,noun,Andy was a regular cottage industry.,"the companies and activities involved in the process of producing goods for sale , especially in a factory or special area"
injury,noun,"All right, but you should know that sudden, serious brain injury causes the victim to bite down hard.",physical harm or damage to someone's body caused by an accident or an attack
inside,adjective,I have inside me blood of kings,"the part , space , or side of something that is inside"
instead,adverb,He wrote two letters a week instead of one.,in place of someone or something else
instrument,noun,The single-stringed instrument says...,"an object , such as a piano , guitar , or drum , that is played to produce musical sounds"
intelligent,adjective,The Vietnamese are very intelligent.,"showing intelligence , or able to learn and understand things easily"
international,adjective,"International cuisine, healthful and nutritious food.",involving more than one country
invitation,noun,Thank you for the invitation.,the act of inviting someone to go somewhere or do something
invite,verb,Aren't you going to invite me in?,to ask someone if they would like to go somewhere or do something
item,noun,But this is a specialty item.,something that is part of a list or group of things
itself,pronoun,The world went and got itself in a big damn hurry.,"used when the subject of the verb is ""it"" and the object is the same thing, animal , situation , or idea"
jam,noun,A drink with jam and bread,"a sweet , soft food made by cooking fruit with sugar to preserve it. It is eaten on bread"
joke,noun,Is this some kind of joke?,"something, such as a funny story or trick , that is said or done in order to make people laugh"
jump,noun,Let's not jump to conclusions.,to push yourself suddenly off the ground and into the air using your legs
kid,noun,"Here's looking at you, kid.",a child
kill,verb,He tried to kill me.,to cause someone or something to die
king,noun,"Oh, I just can't wait to be king","(the title of) a male ruler of a country , who holds this position because of his royal birth"
knee,noun,It must be knee-deep in evidence.,the middle joint of the leg that allows the leg to bend
knife,noun,So put the knife down.,"a tool , usually with a metal blade and a handle , used for cutting and spreading food or other substances , or as a weapon"
knowledge,noun,"As always, should you or any of your IM Force be caught or killed, the Secretary will disavow any knowledge of your actions.","understanding of or information about a subject that you get by experience or study , either known by one person or by people generally"
