word,level,sentence,word_mean
aim,b1,Aim!,a result that your plans or actions are intended to achieve :
air,a1,Hands in the air!,the mixture of gases that surrounds the earth and that we breathe :
aircraft,b2,"Unidentified aircraft, we will escort you to US SOCCENT airbase.","any vehicle , with or without an engine , that can fly , such as a plane or helicopter :"
airline,a2,What airline?,a business that operates regular services for carrying passengers and/or goods by aircraft :
airport,a1,Airport.,"a place where aircraft regularly take off and land , with buildings for passengers to wait in:"
alarm,b1,False alarm.,"a warning of danger , usually a loud noise or flashing light :"
album,b1,Best album ever made.,"a collection of several pieces of music , made available as a single item on a CD, the internet , etc.:"
alcohol,b1,Alcohol.,drinks such as beer and wine that contain a substance that can make people drunk :
ambition,b1,Ambition.,a strong wish to achieve something:
analysis,b1,Analysis.,"the act of studying or examining something in detail , in order to discover or understand more about it, or your opinion and judgment after doing this:"
anger,b2,Anger.,a strong feeling that makes you want to hurt someone or be unpleasant because of something unfair or unkind that has happened :
angle,b2,What's your angle?,"the space between two lines or surfaces at the point at which they touch each other, measured in degrees :"
animal,a1,Animals. | Animal!,"something that lives and moves but is not a human , bird , fish , or insect :"
ankle,a2,My ankle.,"the joint (= place where two bones are connected ) between the foot and the leg , or the thin part of the leg just above the foot :"
anniversary,b2,Happy anniversary.,the day on which an important event happened in a previous year :
announcement,b1,I have an announcement to make.,"something that someone says officially , giving information about something:"
answer,a1,Answer me! | I want answers.,"a reaction to a question , letter , phone call , etc.:"
apartment,a1,"My apartment. | Melvin White, 1502 Randolph Apartments.","a set of rooms for living in, especially on one floor of a building : | a set of large rooms with expensive furniture and decoration in, for example , a public building or castle :"
appeal,b2,Does that appeal to you?,"a request to the public for money , information , or help :"
appearance,a2,"And in fact, they are so alike in voice and appearance that they're often mistaken for Dwarf men.",an occasion when someone appears in public :
apple,a1,Apple.,"a round fruit with firm , white flesh and a green , red , or yellow skin :"
application,b1,Application?,"an official request for something, usually in writing:"
appointment,b1,I have some appointments at the office. | I have an appointment.,a formal arrangement to meet or visit someone at a particular time and place :
approach,b2,Approach.,"to come near or nearer to something or someone in space , time , quality , or amount :"
approval,b2,Approval?,the feeling of having a positive opinion of someone or something:
April,a1,April.,"the fourth month of the year , after March and before May:"
architect,a2,I'm an architect.,a person whose job is to design new buildings and make certain that they are built correctly
area,a1,Service areas. | This is a restricted area.,"a particular part of a place , piece of land , or country :"
argument,a2,No arguments. | No argument.,"a disagreement , or the process of disagreeing :"
arm,a1,Present arms! | My arm!,weapons and equipment used to kill and injure people : | either of the two long parts of the upper body that are attached to the shoulders and have the hands at the end:
army,a2,You and what army? | The Dark One is gathering all armies to him.,a particular country's fighting force :
arrangement,a2,We had an arrangement. | I'll make the arrangements.,a plan for how something will happen :
arrival,b1,Prepare for our arrival.,the fact of arriving somewhere :
art,a1,Art. | The Greatest Martial Arts Games The Greatest Martial Arts Games,"the making of objects , images , music , etc. that are beautiful or that express feelings : | the making or showing or performance of painting , acting , dancing , and music :"
article,a1,What article?,"a piece of writing on a particular subject in a newspaper or magazine , or on the internet :"
artist,a1,We're artists. | I'm an artist.,"someone who paints , draws , or makes sculptures :"
aspect,b2,Possible aspect change on target.,"one part of a situation , problem , subject , etc.:"
assignment,b1,I have an assignment for you.,"a piece of work given to someone, typically as part of their studies or job :"
association,b2,Guilt by association.,a group of people who work together in a single organization for a particular purpose :
athlete,a2,I'm an athlete.,"a person who is very good at sports or physical exercise , especially one who competes in organized events :"
atmosphere,b1,That's the atmosphere processor?,the mixture of gases around the earth :
attack,a2,Saruman attacks from Isengard. | Attack!,to try to hurt or defeat using violence :
attempt,b2,I try to show the schemers how pathetic their attempts to control things really are. | Do not attempt to adjust the picture.,"to try to do something, especially something difficult :"
attitude,b1,I don't like your attitude.,"a feeling or opinion about something or someone, or a way of behaving that is caused by this:"
attraction,b1,What's the attraction?,something that makes people want to go to a place or do a particular thing:
audience,a2,Cheers is filmed before a live studio audience.,"the group of people together in one place to watch or listen to a play , film , someone speaking , etc.:"
August,a1,August.,"the eighth month of the year , after July and before September :"
aunt,a1,Aunt!,"the sister of someone's father or mother , or the wife of someone's uncle or aunt:"
author,a2,Author!,"the writer of a book , article , play , etc.:"
authority,b1,Authorities are appealing for calm throughout the evacuation process. | On whose authority?,"the group of people with official legal power to make decisions or make people obey the laws in a particular area , such as the police or a local government department : | the moral or legal right or ability to control :"
autumn,a1,Autumn!,"the season of the year between summer and winter , lasting from September to November north of the equator and from March to May south of the equator , when fruits and crops become ready to eat and are picked , and leaves fall:"
award,a2,And I have a few last-minute points to award. | And good luck at the Bad Timing Awards.,to give money or a prize following an official decision :
baby,a1,"Come on, baby. | My babies!","a very young child , especially one that has not yet begun to walk or talk :"
background,a2,What's your background?,the things that can be seen behind the main things or people in a picture :
bacteria,b2,Bacteria.,plural of bacterium
bag,a1,Pack your bags. | What's in the bag?,"a soft container made out of paper or thin plastic , and open at the top , used to hold foods and other goods :"
balance,b1,Balance.,"the ability to remain standing , especially because your weight is equally distributed (= spread ) :"
ball,a1,Balls. | Ball!,"a rude word for testicles : | any object in the shape of a sphere , especially one used as a toy by children or in various sports such as tennis and football :"
banana,a1,Bananas. | Banana.,"very silly : | a long , curved fruit with a yellow skin and soft , sweet , white flesh inside:"
band,a1,Big Band | Rain bands.,a group of musicians who play modern music together:
bank,a1,The bank. | Banks!,"an organization where people and businesses can invest or borrow money , change it to foreign money , etc., or a building where these services are offered :"
bar,a2,It's a bar. | To stay behind bars until use and old age accept them.,"a place , either a separate building or business or part of another building such as a hotel , where drinks , especially alcoholic drinks , are sold and drunk :"
barrier,b2,A barrier?,"a long pole , fence , wall , or natural feature , such as a mountain or sea , that stops people from going somewhere :"
base,b1,Return to base.,"the bottom part of an object , on which it rests , or the lowest part of something:"
baseball,a2,Baseball.,"a game played especially in North America by two teams of nine players , in which a player hits a ball with a bat (= stick ) and tries to run around four bases on a large field before the other team returns the ball :"
basis,b1,On what basis?,"the most important facts , ideas , etc. from which something is developed :"
basketball,a2,Basketball.,a game played by two teams of five players who score points by throwing a large ball through an open net hanging from a metal ring
bath,a1,Take a bath.,"a long plastic , metal , or ceramic container that is filled with water so that you can sit or lie in it to wash your whole body"
bathroom,a1,I have to go to the bathroom.,a room with a bath and/or shower and often a toilet:
battery,b1,Battery. | Batteries.,"a device that produces electricity to provide power for electronic devices , cars , etc.:"
battle,b1,Battle stations.,a fight between armed forces :
beach,a1,Howard Beach!,an area of sand or small stones near the sea or another area of water such as a lake :
bean,a2,Bean! | Beans.,"a seed , or the pod containing seeds , of various climbing plants , eaten as a vegetable :"
bear,a2,Bears. | I can't bear it.,"to accept , tolerate , or endure something, especially something unpleasant :"
beat,b2,Beat it. | Beats me.,to defeat or do better than:
beauty,b1,Beauty.,"the quality of being pleasing and attractive , especially to look at:"
bed,a1,"Hey, why do we need bunk beds? | I'm going to bed.","a large , rectangular piece of furniture , often with four legs , used for sleeping on:"
bedroom,a1,How many bedrooms? | In the bedroom.,a room used for sleeping in:
bee,b1,Subtitles by Red Bee Media Ltd,a yellow and black flying insect that makes honey and can sting you:
beef,a2,Beef.,"the flesh of cattle (= cows ) , eaten as food :"
beer,a1,Beer. | Two beers.,an alcoholic drink made from grain and hops (= a type of plant ) :
beginning,a1,This is just the beginning.,the first part of something or the start of something:
behaviour,a2,Good behaviour.,the way that someone behaves :
being,b2,Human beings. | For the time being.,a person or thing that exists :
belief,b1,"This, in turn, has given rise to the belief that there are no Dwarf women and that Dwarves just spring out of holes in the ground which is, of course, ridiculous. | Do you have any religious beliefs?",the feeling of being certain that something exists or is true :
bell,b1,Ring a bell? | Ring any bells?,an electrical device that makes a ringing sound when you press a button :
belt,a2,Put your seat belt on. | Fasten your seat belts.,a strip of leather or material worn around the waist to support clothes or for decoration :
bend,b1,Bend over.,to ( cause to) curve :
bet,b2,You bet. | Place your bets.,"to risk money on the result of an event or a competition , such as a horse race , in the hope of winning more money :"
bicycle,a1,A bicycle?,a two-wheeled vehicle that you sit on and move by turning the two pedals (= flat parts you press with your feet ) :
bike,a1,Nice bike.,a bicycle :
bill,a1,Bills. | Bill.,"a request for payment of money owed , or the piece of paper on which it is written:"
bin,a2,Bin Laden.,a container for waste :
biology,a2,Biology.,the scientific study of the natural processes of living things:
bird,a1,Birds. | Bird.,"a creature with feathers and wings , usually able to fly :"
birth,a2,Date of birth?,the time when a baby or young animal comes out of its mother's body :
birthday,a1,Happy birthday.,the day that is exactly a year or number of years after a person was born :
biscuit,a2,Biscuits? | Biscuit?,"a small , flat cake that is dry and usually sweet :"
bit,a2,Another one bites the dust. | Two bits. | A little bit.,to use your teeth to cut into something or someone: | a small piece or amount of something:
black,a1,Blacks? | Black.,"having the darkest colour there is, like the colour of coal or of a very dark night :"
blame,b2,I don't blame you.,to say or think that someone or something did something wrong or is responsible for something bad happening :
block,b1,Block. | Ten blocks?,"the distance along a street from where one road crosses it to the place where the next road crosses it, or one part of a street like this, especially in a town or city :"
blood,a2,Blood.,"the red liquid that is sent around the body by the heart , and carries oxygen and important substances to organs and tissue , and removes waste products :"
boat,a1,Boats. | Boat.,a small vehicle for travelling on water :
body,a1,Over my dead body. | Where are the bodies?,the whole physical structure that forms a person or animal :
bomb,b1,Bombs away! | Bomb!,a weapon that explodes and is used to kill or hurt people or to damage buildings :
bond,b2,James Bond. | Their bonds were cut.,a close connection joining two or more people : | the ropes or chains that hold prisoners and prevent them moving around or escaping :
bone,a2,Bone Saw!,any of the hard parts inside a human or animal that make up its frame :
book,a1,Books. | What book?,the written records of money that a business has spent or received : | a written text that can be published in printed or electronic form :
boot,a1,Das Boot! | Boots.,a type of shoe that covers the whole foot and the lower part of the leg :
border,b1,I hope I can make it across the border. | These borders are well-protected.,a line that has been agreed to divide one country from another: | an area of southern Scotland that was one of nine local government regions until 1996:
boss,a2,Boss!,the person who is in charge of an organization and who tells others what to do:
bottle,a1,Give me the bottle.,"a container for liquids , usually made of glass or plastic , with a narrow neck :"
bowl,a2,Bowl.,a rounded container that is open at the top and is deep enough to hold food or small objects :
box,a1,What's in the boxes? | What's in the box?,a square or rectangular container with stiff sides and sometimes a lid :
boy,a1,"Come on, boys. | Oh, boy.","a group of male friends : | a male child or, more generally , a male of any age :"
boyfriend,a1,Boyfriend? | Boyfriends?,a man or boy that a person is having a romantic or sexual relationship with:
brain,a2,Brains! | Use your brain.,"the most intelligent person in a group , especially the person who plans what the group will do: | the organ inside the head that controls thought , memory , feelings , and activity :"
branch,b1,"Its branches are dry, its trunk old and twisted. | Seven years ago, I was recruited by a secret branch of the CIA called SD-6.","a group of nerves that work together for a specific purpose , for example , the facial nerve branches that control the muscles used to make different expressions with the face | a part of something larger :"
brand,b1,It's brand-new.,a type of product made by a particular company and sold under a particular name :
bread,a1,Bread.,"a food made from flour , water , and usually yeast , mixed together and baked :"
break,a1,Give me a break. | It breaks my heart.,"to ( cause something to) separate suddenly or violently into two or more pieces , or to ( cause something to) stop working by being damaged :"
breakfast,a1,Breakfast.,a meal eaten in the morning as the first meal of the day :
breast,b2,Breasts. | Breast cancer.,"either of the two soft , rounded parts of a woman's chest that produce milk after she has a baby :"
breath,b1,Take a deep breath.,the air that goes into and out of your lungs :
breathing,b1,He's not breathing.,the act or process of taking air into your lungs and releasing it:
bride,b1,You may kiss the bride.,a woman who is about to get married or has just got married :
bridge,a2,Bridge.,"a structure that is built over a river , road , or railway to allow people and vehicles to cross from one side to the other:"
broadcast,b2,This is an emergency broadcast.,to send out a programme on television or radio :
brother,a1,Brothers! | Brother!,a man or boy with the same parents as another person :
brush,a2,Brush your teeth.,"an object with short pieces of stiff hair , plastic , or wire attached to a base or handle , used for cleaning , arranging your hair , or painting :"
bus,a1,Stop the bus!,a large vehicle in which people are driven from one place to another:
bubble,b1,Zero bubble.,"a ball of gas that appears in a liquid , or a ball formed of air surrounded by liquid that floats in the air :"
budget,b2,Budget cuts.,a plan to show how much money a person or organization will earn and how much they will need or be able to spend :
building,a1,In the building. | Able to leap tall buildings at a single bound.,"a structure with walls and a roof , such as a house or factory :"
bullet,b2,No bullets. | Faster than a speeding bullet.,"a small , metal object that is shot from a gun :"
bunch,b2,Thanks a bunch.,a number of things of the same type fastened together or in a close group :
burn,b2,Burn! | It burns!,"to be hurt , damaged , or destroyed by fire or extreme heat , or to cause this to happen :"
bush,b2,Don't beat around the bush. | In the bushes.,"a plant with many small branches growing either directly from the ground or from a hard stem , giving the plant a rounded shape :"
business,a1,None of your business.,the activity of buying and selling goods and services :
businessman,a2,I'm a businessman.,"a man who works in business , especially one who has a high position in a company :"
butter,a1,Butter.,a pale yellow solid food containing a lot of fat that is made from cream and is spread on bread or used in cooking :
button,a2,Buttons. | Push the button.,"a small , usually circular object used to fasten something, for example a shirt or coat :"
cable,b2,Cable?,"a set of wires , covered by plastic , that carries electricity , phone signals , etc.:"
cafe,a1,Cafe?,a restaurant where simple and usually quite cheap meals are served :
cake,a1,Piece of cake.,"a sweet food made with a mixture of flour , eggs , fat , and sugar :"
call,a1,I'll call you. | Duty calls.,"to give someone or something a name , or to know or address someone by a particular name :"
camera,a1,Cameras. | Camera.,a device for taking photographs or making films or television programmes :
camp,a2,Head back to camp. | It's one of those Yankee prison camps you'd better hope you never end up in.,a place where people stay in tents or other temporary structures :
campaign,b1,"Mr. Mayor, you were elected in a campaign to clean up the city.","a planned group of especially political , business , or military activities that are intended to achieve a particular aim :"
camping,a2,Camping?,the activity of staying in a tent on holiday :
campus,b1,There's a lion on the campus.,the buildings of a college or university and the land that surrounds them:
can,a2,Can I help you? | Cans.,to be able to: | → headphones :
cancer,b2,Cancer.,"a serious disease that is caused when cells in the body grow in a way that is uncontrolled and not normal , killing normal cells and often causing death :"
candidate,b1,"Right now, terrorists are plotting to assassinate a presidential candidate.",a person who is competing to get a job or elected position :
cap,b1,Cap.,"a soft flat hat that has a curved part sticking out at the front , often worn as part of a uniform"
capacity,b2,In what capacity?,the total amount that can be contained or produced :
capital,a1,Capital!,a city that is the centre of government of a country or smaller political area :
captain,b1,Captain.,the leader of a sports team :
capture,b2,Freed him to run before the relentless pursuit of the police lieutenant obsessed with his capture.,"to take someone as a prisoner , or to take something into your possession , especially by force :"
car,a1,Cars. | Get in the car. | Who cares?,"a road vehicle with an engine , four wheels , and seats for a small number of people : | the process of protecting someone or something and providing what that person or thing needs :"
card,a1,Cards? | Here's my card.,"any of a range of games played with cards, such as poker , whist , and bridge : | a small , rectangular piece of card or plastic , often with your signature , photograph , or other information proving who you are, that allows you to do something, such as make a payment , get money from a bank , or enter a particular place :"
care,a2,I don't care.,the process of protecting someone or something and providing what that person or thing needs :
career,a1,Career?,"the job or series of jobs that you do during your working life , especially if you continue to get better jobs and earn more money :"
carpet,a2,Carpet.,(a shaped piece of) thick material used for covering floors :
carrot,a1,Carrots. | Carrot?,"a long , pointed root that is usually orange in colour , eaten as a vegetable :"
cartoon,a2,"No, it was a cartoon.","a drawing , especially in a newspaper or magazine , that tells a joke or makes a humorous political criticism"
case,a2,Just in case.,a particular situation or example of something:
cash,a2,Cash.,money in the form of notes and coins :
cast,b2,Cast,"the actors in a film , play , or show:"
castle,a2,Castle.,"a large strong building , built in the past by a ruler or important person to protect the people inside from attack"
cat,a1,Cat got your tongue? | Cats.,"a small animal with fur , four legs , a tail , and claws , usually kept as a pet or for catching mice :"
catch,b2,The early bird catches the worm. | Catch him!,"to take hold of something, especially something that is moving through the air :"
category,b1,Same category.,"(in a system for dividing things according to appearance , quality , etc.) a type , or a group of things having some features that are the same:"
cause,a2,Cause of death?,"the reason why something, especially something bad , happens :"
CD,a1,adjusted and corrected for 1 CD Format,"abbreviation for compact disc : a small plastic disk with a shiny surface on which information , especially high-quality sound , is recorded"
ceiling,b1,Look at the ceiling.,the inside surface of a room that you can see when you look above you
celebration,b1,This calls for a celebration.,"a special social event , such as a party , when you celebrate something:"
celebrity,a2,He's a celebrity.,"someone who is famous , especially in the entertainment business"
cell,b2,Cell Phone Ringing | Tossing cells was just an excuse.,the smallest basic unit of a plant or animal
cent,a1,Fifty cents. | Not a cent.,"a unit of money worth 0.01 of a dollar , or a coin with this value :"
centre,a1,The Centre wants him alive.,the middle point or part :
century,a1,This is the 20th century. | Which cricketer has scored the most first class centuries in history?,a period of 100 years :
ceremony,b1,What ceremony?,"(a set of) formal acts , often fixed and traditional , performed on important social or religious occasions :"
chain,b1,"Chains. | Chain, chain, chain","another word for snow chains : | a series of things of the same type connected in a line , or a series of people standing in a line :"
chairman,b2,Mr. Chairman.,a person in charge of a meeting or organization
challenge,b1,Challenge!,(the situation of being faced with) something that needs great mental or physical effort in order to be done successfully and therefore tests a person's ability :
champion,b1,Champion! | Breakfast of champions.,"someone or something, especially a person or animal , that has beaten all other competitors in a competition :"
chance,a2,Not a chance.,an occasion that allows something to be done:
change,a1,Keep the change.,"to exchange one thing for another thing, especially of a similar type :"
channel,b1,All the other channels are dead. | Open a channel.,a television or radio station (= an organization that broadcasts television or radio programmes ) :
chapter,b1,Chapter one.,"any of the separate parts into which a book or other piece of text is divided , usually given a number or title :"
character,a2,What a character! | Are these characters autoerotica?,the particular combination of qualities in someone or something that makes them or it different from others :
charge,b1,Charge!,"to ask an amount of money for something, especially a service or activity :"
charity,a2,Charity?,"an organization whose purpose is to give money , food , or help to those who need it, or to carry out activities such as medical research that will help people in need, and not to make a profit :"
chart,a1,Where's the chart? | Off the charts.,"a drawing that shows information in a simple way, often using lines and curves to show amounts : | the lists produced each week of the records with the highest sales :"
chat,a2,Let's have a chat.,to talk to someone in a friendly informal way:
cheat,b1,Cheat!,to behave in a dishonest way in order to get what you want :
check,a2,Checks. | Check.,"to make certain that something or someone is correct , safe , or suitable by examining it, him, or her quickly :"
cheese,a1,Cheese.,"a food made from milk , or from a milk-like substance taken from plants , that can be either firm or soft and is usually yellow or white in colour :"
chef,a2,Chef!,"a skilled and trained cook who works in a hotel or restaurant , especially the most important cook :"
chemical,b1,Chemical? | Chemicals.,any basic substance that is used in or produced by a reaction involving changes to atoms or molecules :
chemistry,a2,Chemistry.,the scientific study of the basic characteristics of substances and the ways in which they react or combine :
chest,b1,Chest!,"the upper front part of the body of humans and some animals , between the stomach and the neck , containing the heart and lungs :"
chicken,a1,Chicken. | Chickens?,"a type of bird kept on a farm for its eggs or its meat , or the meat of this bird that is cooked and eaten :"
child,a1,My child!,"a boy or girl from the time of birth until he or she is an adult , or a son or daughter of any age :"
childhood,b1,I spent all my childhood pretending I was off somewhere else.,the time when someone is a child :
chip,a2,Chips? | Chip?,"potato chip | a long , thin piece of potato that is fried and usually eaten hot :"
chocolate,a1,Chocolate.,"a sweet , usually brown , food made from cacao seeds , that is usually sold in a block and is often used as a flavour for desserts , drinks , etc.:"
choice,a2,I had no choice.,an act or the possibility of choosing :
church,a2,Church.,a building for Christian religious activities :
cigarette,a2,Cigarette?,a small paper tube filled with cut pieces of tobacco that people smoke :
cinema,a1,Cinema?,a theatre where people pay to watch films :
citizen,b2,I'm an American citizen. | Citizens!,"a person who is a member of a particular country and who has rights because of being born there or because of being given rights , or a person who lives in a particular town or city :"
city,a1,New York City. | I'm not picking up any cities or technology.,a large town :
claim,b1,"Claims, Bob Parr. | If you want him, come and claim him.","to say that something is true or is a fact , although you cannot prove it and other people might not believe it:"
class,a1,Class dismissed.,"a group of students who are taught together at school , college , or university :"
classroom,a1,No dark sarcasm in the classroom,a room in a school or college where groups of students are taught
click,b1,Click. | Clicks,to carry out a computer operation by pressing a button on the mouse or keyboard :
client,b1,Clients? | A client.,a customer or someone who receives services :
climate,a2,You may find the climate of Casablanca a trifle warm.,the general weather conditions usually found in a particular place :
climb,b1,Climb!,"to go up, or to go towards the top of something:"
clock,a1,The clock is ticking.,"a device for measuring and showing time , usually found in or on a building and not worn by a person :"
cloth,b1,Take off your clothes. | His cloth was poor.,"things such as dresses and trousers that you wear to cover , protect , or decorate your body : | (a type of) woven material :"
clothing,a2,"Clothing is custom, no labels.","clothes , especially clothes of a particular type or those worn in a particular situation :"
cloud,a2,Cloud! | The storm clouds broke,"a grey or white mass in the sky , made up of very small floating drops of water :"
club,a1,Join the club. | Clubs.,"an organization of people with a common purpose or interest , who meet regularly and take part in shared activities : | one of the four suits in playing cards , represented by a symbol with three round leaves :"
clue,b1,Not a clue.,"a sign or some information that helps you to find the answer to a problem , question , or mystery :"
coach,a2,Coach.,"someone whose job is to teach people to improve at a sport , skill , or school subject :"
coal,b1,Coal.,"a hard, black substance that is dug from the earth in pieces , and can be burned to produce heat or power , or a single piece of this:"
coast,a2,The coast is clear.,the land next to or close to the sea :
coat,a1,May I take your coats? | Get your coat.,"an outer piece of clothing with sleeves that is worn over other clothes , usually for warmth :"
code,a2,Code red.,"a system of words, letters , or signs used to represent a message in secret form , or a system of numbers , letters , or signals used to represent something in a shorter or more convenient form :"
coffee,a1,Coffee?,a dark brown powder with a strong flavour and smell that is made by crushing dark beans from a tropical bush and used to make a drink :
coin,b1,Do you have a coin? | Coins.,"a small , round piece of metal , usually silver or copper coloured , that is used as money :"
collapse,b2,The stairs were ready to collapse.,to fall down suddenly because of pressure or having no strength or support :
colleague,a2,A colleague.,one of a group of people who work together:
collection,b1,For your collection.,a group of objects of one type that have been collected by one person or in one place :
college,a1,College.,"a university , especially one where you study for an undergraduate (= first) degree :"
colour,a1,What colour? | Your veil has 9 colours.,"red , blue , green , yellow , etc.:"
column,a2,All riders to the head of the column.,one of several vertical blocks of print into which a page of a newspaper or magazine is divided :
combination,b2,What's the combination?,the mixture you get when two or more things are combined :
comedy,a2,Comedy central,"a ( type of) film , play , or book that is intentionally funny either in its characters or its action :"
comfort,b2,"Thy rod and thy staff, they comfort me.",a pleasant feeling of being relaxed and free from pain :
command,b2,Your wish is my command. | Alert all commands.,"an order , especially one given by a soldier :"
comment,a2,No comment. | Any comments?,something that you say or write that expresses your opinion :
commission,b2,Commission?,"to formally choose someone to do a special piece of work , or to formally ask for a special piece of work from someone:"
commitment,b2,Commitment.,a promise or firm decision to do something:
committee,b2,Appropriations Committee voted an annual payment of 500 just to shut him up.,a small group of people chosen to represent a larger organization and either make decisions or collect information for it:
communication,b1,Communications. | Communication.,"the various methods of sending information between people and places , especially phones , computers , radio , etc.: | the act of communicating with people :"
community,a2,Community.,"the people living in one particular area or people who are considered as a unit because of their common interests , social group , or nationality :"
company,a1,We got company. | Limousine companies.,an organization that sells goods or services in order to make money :
comparison,b1,There's no comparison.,the act of comparing two or more people or things:
competition,a2,Competition.,a situation in which someone is trying to win something or be more successful than someone else :
complaint,b1,No complaints. | Complaint?,a statement that something is wrong or not satisfactory :
computer,a1,Computer. | Computers.,"an electronic machine that is used for storing , organizing , and finding words, numbers , and pictures , for doing calculations , and for controlling other machines :"
concentration,b2,Concentration.,the ability to think carefully about something you are doing and nothing else :
concept,b2,What a concept.,a principle or idea :
concert,a1,Concert?,a performance of music by one or more musicians or singers :
conclusion,b1,"And now, the conclusion. | Don't jump to conclusions.",the final part of something:
condition,a2,Conditions? | On one condition.,the physical situation that someone or something is in and affected by: | the particular state that something or someone is in:
conduct,b2,What conduct?,to organize and perform a particular activity :
conference,a2,Conference room.,"an event , sometimes lasting a few days , at which there is a group of talks on a particular subject , or a meeting in which especially business matters are discussed formally :"
confidence,b2,Thanks for the vote of confidence.,"the quality of being certain of your abilities or of having trust in people , plans , or the future :"
connection,b1,Connections. | What's the connection?,the people you know and who can help you: | the state of being related to someone or something else :
consideration,b2,I'll take it under consideration.,the act of thinking about something carefully :
construction,b2,Construction.,"the work of building or making something, especially buildings , bridges , etc.:"
contact,b1,Contacts. | Contact.,"the place on your mobile phone or computer where you store people's names , telephone numbers , addresses , etc.: | communication with someone, especially by speaking or writing to them regularly :"
container,b1,A container facility?,"a hollow object , such as a box or a bottle , that can be used for holding something, especially to carry or store it:"
content,b1,You're not the contents of your wallet. | I am content.,"the articles or parts contained in a magazine or book , with the number of the page they begin on: | pleased with your situation and not hoping for change or improvement :"
contest,b2,No contest.,"a competition to do better than other people , usually in which prizes are given:"
continent,a2,"I doubt if anybody's talked to anybody on this entire continent, and you want me to reach somebody!","one of the seven large land masses on the earth's surface , surrounded , or mainly surrounded , by sea and usually consisting of various countries :"
contract,b2,Contract? | Here are the contracts.,"a legal document that states and explains a formal agreement between two different people or groups , or the agreement itself:"
contribution,b2,Real contribution to human history.,"something that you contribute or do to help produce or achieve something together with other people , or to help make something successful :"
control,a2,Take the controls. | Everything's under control.,"devices that are used to operate a machine , vehicle , or aircraft : | to order , limit , or rule something, or someone's actions or behaviour :"
conversation,a1,This conversation is over. | I will miss our conversations.,"(a) talk between two or more people in which thoughts , feelings , and ideas are expressed , questions are asked and answered , or news and information is exchanged :"
cooking,a1,What's cooking?,the activity of preparing or cooking food :
copy,a2,Copies? | Copy that.,to intentionally make or do something that is the same as an original piece of work :
corner,a2,Around the corner. | Check those corners.,"the point , area , or line that is formed by the meeting of two lines , surfaces , roads , etc.:"
costume,b1,Nice costume.,the set of clothes typical of a particular country or period of history :
cottage,b1,Andy was a regular cottage industry.,"a small , simple house , typically in the countryside :"
