them,Get them out of here.,exact,"used, usually as the object of a verb or preposition , to refer to people , things, animals , situations , or ideas that have already been mentioned :"
take,I'll take care of it.,exact,"to remove something, especially without permission :"
would,Would you like some coffee?,exact,used to refer to future time from the point of view of the past:
back,I'll be back in a minute.,exact,"in, into, or towards a previous place or condition , or an earlier time :"
had,I had nothing to do with it.,exact,"past simple and past participle of have , also used with the past participle of other verbs to form the past perfect :"
tell,Why didn't you tell me?,exact,"to say something to someone, often giving them information or instructions :"
or,Take it or leave it.,exact,used to connect different possibilities :
that's,That's very kind of you.,exact,short form of that is or that has :
who,Who the hell are you?,exact,"used especially in questions as the subject or object of a verb , when asking which person or people , or when asking what someone's name is:"
were,Where were you last night?,exact,past simple of be
some,Would you like some coffee?,exact,an amount or number of something that is not stated or not known ; a part of something:
our,We're on our way.,exact,of or belonging to us:
by,What do you mean by that?,exact,used to show the person or thing that does something:
man,Do you know this man?,exact,an adult male human being:
then,Then why are you here?,exact,(at) that time (in the past or in the future ):
could,How could you do that?,exact,"past simple of ""can"", used to talk about what someone or something was able or allowed to do:"
say,Why do you say that?,exact,"to pronounce words or sounds , to express a thought , opinion , or suggestion , or to state a fact or instruction :"
good,It's good to see you.,exact,"very satisfactory , enjoyable , pleasant , or interesting :"
oh,"Oh, thank you very much.",exact,"used to express different emotions , such as surprise , disappointment , and pleasure , often as a reaction to something someone has said:"
has,How long has it been?,exact,he/she/it form of have
gonna,What are you gonna do?,exact,informal for going to:
i've,I've been waiting for you.,exact,short form of I have:
look,Let me look at you.,exact,to direct your eyes in order to see :
he's,For he's a jolly good fellow,exact,short form of he is:
way,Get out of the way!,exact,"a route , direction , or path :"
make,What difference does it make?,exact,"to produce something, often using a particular substance or material :"
can't,You can't go in there.,exact,short form of cannot:
mr,"My dear guests, I am Mr. Roarke, your host.",exact,"a title used before the family name or full name of a man who has no other title , or when talking to man who holds a particular official position :"
didn't,Why didn't you tell me?,exact,short form of did not:
only,It'll only take a minute.,exact,"used to show that there is a single one or very few of something, or that there are no others :"
never,I've never seen anything like it.,exact,not at any time or not on any occasion :
more,What more do you want?,exact,a larger or extra number or amount :
little,I'll be back in a little while.,exact,small in size or amount :
too,It's too late for that.,exact,more than is needed or wanted ; more than is suitable or enough:
something,Let me tell you something.,exact,"an object , situation , quality , or action that is not exactly known or stated :"
down,Why don't you sit down?,exact,"in or towards a low or lower position , from a higher one:"
where,Where do you think you're going?,exact,"to, at, or in what place :"
any,It doesn't make any sense.,exact,"some, or even the smallest amount or number of:"
very,"Thank you very much, sir.",exact,(used to add emphasis to an adjective or adverb ) to a great degree or extremely :
we're,We're on our way.,exact,short form of we are:
over,I've been looking all over for you.,exact,"above or higher than something else , sometimes so that one thing covers the other; above:"
let,Let me tell you something.,exact,to allow something to happen or someone to do something by not doing anything to stop an action or by giving your permission :
give,Let me give you a hand.,exact,"to offer something to someone, or to provide someone with something:"
there's,There's nothing to worry about.,exact,short form of there is or there has :
off,Get your hands off me!,exact,"away from a place or position , especially the present place , position , or time :"
people,Who are all these people?,exact,"men, women, and children :"
two,Just the two of us.,exact,the number 2:
said,Did you hear what I said?,exact,past simple and past participle of say
must,There must be some mistake.,exact,used to show that it is necessary or very important that something happens in the present or future :
much,"Thank you very much, sir.",exact,a large amount or to a large degree :
even,Don't even think about it.,exact,"used to show that something is surprising , unusual , unexpected , or extreme :"
because,Not because I'm in here or because you think I should.,exact,for the reason that:
should,How the hell should I know?,exact,used to say or ask what is the correct or best thing to do:
into,You talked me into it.,exact,"to the inside or middle of a place , container , area , etc.:"
these,These are the voyages of the Starship Enterprise.,exact,plural of this
thing,You did the right thing.,exact,used to refer in an approximate way to an object or to avoid naming it:
mean,What's that supposed to mean?,exact,"to express or represent something such as an idea , thought , or fact :"
before,Cheers is filmed before a live studio audience.,exact,at or during a time earlier than (the thing mentioned ):
first,First thing in the morning.,exact,"(a person or thing) coming before all others in order , time , amount , quality , or importance :"
really,Do you really think so?,exact,in fact :
find,How did you find me?,exact,"to discover , especially where a thing or person is, either unexpectedly or by searching , or to discover where to get or how to achieve something:"
we'll,We'll see about that.,exact,short form of we will:
you've,You've got to be kidding.,exact,short form of you have:
life,It's a matter of life and death.,exact,"the period between birth and death , or the experience or state of being alive :"
anything,Is there anything I can do?,exact,"used in questions and negatives to mean ""something"":"
put,Let me put it this way.,exact,"to move something or someone into the stated place , position , or direction :"
after,As Roger Ramjet and his men Get all the crooks they're after.,exact,"following in time , place , or order :"
need,I need to talk to you.,exact,"to have to have something, or to want something very much:"
than,You know better than that.,exact,used to join two parts of a comparison :
you'll,You'll be all right.,exact,short form of you will:
love,You're gonna love it.,exact,"to like another adult very much and be romantically and sexually attracted to them, or to have strong feelings of liking a friend or person in your family :"
those,Where did you get those?,exact,plural of that
better,You know better than that.,exact,"comparative of good : of a higher standard , or more suitable , pleasing , or effective than other things or people :"
other,You two know each other?,exact,as well as the thing or person already mentioned :
old,We'll have a gay old time,exact,having lived or existed for many years :
day,That'll be the day.,exact,"a period of 24 hours , especially from twelve o'clock one night to twelve o'clock the next night :"
away,Don't let him get away!,exact,"somewhere else , or to or in a different place , position , or situation :"
their,They're on their way.,exact,of or belonging to them:
again,You can say that again.,exact,one more time :
i'd,I'd like to talk to you.,exact,short form of I had:
talk,I want to talk to you.,exact,to say words aloud ; to speak to someone:
won't,It won't be long now.,exact,short form of will not:
long,What took you so long?,exact,continuing for a large amount of time :
last,Where were you last night?,exact,(the person or thing) after everyone or everything else :
night,Where were you last night?,exact,the part of every 24-hour period when it is dark because there is very little light from the sun :
still,Why are you still here?,exact,continuing to happen or continuing to be done:
sure,How can you be so sure?,exact,certain ; without any doubt :
am,What am I supposed to do?,exact,I form of be :
thought,I thought I'd never see you again.,exact,past simple and past participle of think
around,What's going on around here?,exact,"in a position or direction surrounding , or in a direction going along the edge of or from one part to another (of):"
doing,What are you doing here?,exact,to be done or caused by someone:
ever,How can I ever thank you?,exact,at any time :
they're,They're waiting for you.,exact,short form of they are:
work,I've got work to do.,exact,"an activity , such as a job , that a person uses physical or mental effort to do, usually for money :"
told,Do as you're told.,exact,past simple and past participle of tell
money,Do you have any money?,exact,"coins or notes (= special pieces of paper ) that are used to buy things, or an amount of these that a person has:"
things,I've got things to do.,exact,used to refer in an approximate way to an object or to avoid naming it:
home,Why don't you go home?,exact,"the house , apartment , etc. where you live , especially with your family :"
let's,Let's get out of here.,exact,used to express a suggestion or request that includes you and the other person or people :
maybe,"Well, maybe you're right.",exact,used to show that something is possible or that something might be true :
uh,"Uh, how do you do?",exact,used in writing to represent the sound that people sometimes make when they are thinking what to say next:
always,I have always wanted to have a neighbor just like you.,exact,every time or all the time :
call,What do you call it?,exact,"to give someone or something a name , or to know or address someone by a particular name :"
yes,"Yes, thank you very much.",exact,used to express willingness or agreement :
help,"Here, let me help you.",exact,"to make it possible or easier for someone to do something, by doing part of the work yourself or by providing advice , money , support , etc.:"
place,There's no place like home.,exact,"an area , town , building , etc.:"
yeah,"Yeah, I know what you mean.",exact,yes:
nothing,There's nothing to worry about.,exact,not anything:
please,"May I have your attention, please?",exact,used to make a request more polite :
keep,Sorry to keep you waiting.,exact,to have or continue to have in your possession :
new,So what else is new?,exact,recently created or having started to exist recently :
sir,"How do you do, sir?",exact,"used as a formal and polite way of speaking to a man, especially one who you are providing a service to or who is in a position of authority :"
years,I've known him for years.,exact,a long time :
hey,"Hey, what are you doing?",exact,"used as a way of attracting someone's attention , sometimes in a way that is not very polite :"
may,"May I have your attention, please?",exact,used to express possibility :
leave,Take it or leave it.,exact,"to go away from someone or something, for a short time or permanently :"
she's,This is Mrs. H. She's gorgeous.,exact,short form of she is:
house,Get out of my house!,exact,"a building that people , usually one family , live in:"
what's,What's the matter with you?,exact,short form of what is or what has :
made,I've made up my mind.,exact,past simple and past participle of make :
does,What difference does it make?,exact,he/she/it form of do
doesn't,It doesn't make any sense.,exact,short form of does not:
big,You're making a big mistake.,exact,large in size or amount :
every,Every day they're out there making DuckTales,exact,used when referring to all the members of a group of three or more:
father,"Bless me, Father, for I have sinned.",exact,a male parent :
might,And who might you be?,exact,"past simple of the verb may , used especially when reporting what someone has said, thought , asked , etc.:"
through,I know what you're going through.,exact,from one end or side of something to the other:
own,You're on your own.,exact,belonging to or done by a particular person or thing:
kind,That's very kind of you.,exact,"generous , helpful , and thinking about other people's feelings :"
lot,I've heard a lot about you.,exact,lots (of) a large amount or number of people or things:
name,What did you say your name was?,exact,"the word or words that a person , thing, or place is known by:"
came,I don't know what came over me.,exact,past simple of come
left,"Left, left, left, right, left.",exact,on or towards the side of your body that is to the west when you are facing north :
isn't,"That's what you want, isn't it?",exact,short form of is not:
everything,Everything will be all right.,exact,all things:
ask,Let me ask you something.,exact,"to put a question to someone, or to request an answer from someone:"
wanted,You wanted to see me?,exact,wished for and loved by other people :
believe,"You don't believe me, do you?",exact,"to think that something is true , correct , or real :"
feel,How do you feel now?,exact,to experience something physical or emotional :
world,It's not the end of the world.,exact,"the earth and all the people , places , and things on it:"
mind,Are you out of your mind?,exact,"the part of a person that makes it possible for him or her to think , feel emotions , and understand things:"
we've,We've got to get out of here.,exact,short form of we have:
another,Let me put it another way.,exact,one more person or thing or an extra amount :
three,"One, two, three, four, five.",exact,the number 3:
wouldn't,"You'd like that, wouldn't you?",exact,short form of would not:
men,As Roger Ramjet and his men Get all the crooks they're after.,exact,male members of the armed forces who are not officers :
stay,Stay right where you are.,exact,to not move away from or leave a place or situation :
enough,That's good enough for me.,exact,as much as is necessary ; in the amount or to the degree needed :
being,You're not being fair.,exact,a person or thing that exists :
which,Which way did he go?,exact,(used in questions and structures in which there is a fixed or limited set of answers or possibilities ) what one or ones :
girl,Is it a boy or a girl?,exact,"a female child or young woman, especially one still at school :"
great,This is gonna be great.,exact,"large in amount , size , or degree :"
show,I want to show you something.,exact,to make it possible for something to be seen :
care,I'll take care of it.,exact,the process of protecting someone or something and providing what that person or thing needs :
same,They're all the same.,exact,exactly like another or each other:
hear,Did you hear what I said?,exact,to receive or become conscious of a sound using your ears :
done,You shouldn't have done that.,exact,past participle of do
mother,You're not my mother.,exact,a female parent :
guy,You got the wrong guy.,exact,a man:
room,What are you doing in my room?,exact,"a part of the inside of a building that is separated from other parts by walls , floor , and ceiling :"
try,You want to try it?,exact,to attempt to do something:
without,What would I do without you?,exact,"not having or doing something, or lacking something:"
today,How are you feeling today?,exact,(on) the present day :
kill,He tried to kill me.,exact,to cause someone or something to die :
boy,"Boy, am I glad to see you.",exact,"a male child or, more generally , a male of any age :"
miss,I wouldn't miss it for the world.,exact,"to fail to do or experience something, often something planned or expected , or to avoid doing or experiencing something:"
remember,"You don't remember me, do you?",exact,"to be able to bring back a piece of information into your mind , or to keep a piece of information in your memory :"
many,How many times do I have to tell you?,exact,"used mainly in negative sentences and questions and with ""too"", ""so"", and ""as"" to mean ""a large number of"":"
else,What else do you want?,exact,"used after words beginning with any- , every- , no- , and some- , or after how , what , where , who , why , but not which , to mean 'other', 'another', 'different', ' extra ':"
seen,I've never seen anything like it.,exact,past participle of see
okay,You're gonna be okay.,exact,used to show that you agree with something or agree to do something:
you'd,"You'd like that, wouldn't you?",exact,short form of you had:
looking,What are you looking at?,exact,having the stated appearance :
yourself,You ought to be ashamed of yourself.,exact,"used when the subject of the verb is ""you"" or the person being spoken to, and the object is the same person :"
went,We went to school together.,exact,past simple of go
next,Lucille Ball and Desi Arnaz will be back next week at this same time.,exact,being the first one after the present one or after the one just mentioned :
such,You'll do no such thing.,exact,used before a noun or noun phrase to add emphasis :
getting,What are you getting at?,exact,present participle of get
nice,Nice to see you again.,exact,"pleasant , enjoyable , or satisfactory :"
talking,What are you talking about?,exact,present participle of talk
coming,You're coming with me.,exact,happening soon :
car,Get out of the car.,exact,"a road vehicle with an engine , four wheels , and seats for a small number of people :"
woman,You'll be a woman soon,exact,an adult female human being:
stop,Why did you stop me?,exact,to finish doing something that you were doing:
friend,You're my best friend.,exact,"a person who you know well and who you like a lot, but who is usually not a member of your family :"
listen,"Now, you listen to me.",exact,"to give attention to someone or something in order to hear him, her, or it:"
trying,What are you trying to do?,exact,annoying and difficult :
once,We must leave at once.,exact,one single time :
bad,Is that good or bad?,exact,unpleasant and causing difficulties :
while,I'll be back in a little while.,exact,"during the time that, or at the same time as:"
best,You're my best friend.,exact,"of the highest quality , or being the most suitable , pleasing , or effective type of thing or person :"
son,You crazy son of a bitch!,exact,your male child :
god,Thank God you're here.,exact,"a spirit or being believed to control some part of the universe or life and often worshipped for doing so, or something that represents this spirit or being:"
most,So let's make the most of this beautiful day.,exact,the biggest number or amount of; more than anything or anyone else :
whole,He's got the whole world in His hands,exact,complete or not divided :
days,"Happy and free  -  Oh, happy days",exact,a period in history :
someone,Are you looking for someone?,exact,used to refer to a single person when you do not know who they are or when it is not important who they are:
found,What have you found out?,exact,past simple and past participle of find
saw,I saw it with my own eyes.,exact,past simple of see
live,Cheers is filmed before a live studio audience.,exact,(to continue ) to be alive or have life :
wait,You'll have to wait.,exact,"to allow time to go by, especially while staying in one place without doing very much, until someone comes, until something that you are expecting happens or until you can do something:"
haven't,We haven't got much time.,exact,short form of have not:
morning,See you in the morning.,exact,the part of the day from the time when the sun rises or you wake up until the middle of the day or lunch time :
used,You'll get used to it.,exact,"shows that a particular thing always happened or was true in the past, especially if it no longer happens or is no longer true :"
ain't,You ain't seen nothing yet.,exact,"short form of am not, is not, are not, has not, or have not:"
since,"Since we're together, we might as well say.",exact,"from a particular time in the past until a later time , or until now:"
sorry,Sorry to keep you waiting.,exact,"used to say that you wish you had not done what you have done, especially when you want to be polite to someone you have done something bad to:"
wife,I now pronounce you man and wife.,exact,the woman that you are married to:
head,Put your hands on your head.,exact,"the part of the body above the neck where the eyes , nose , mouth , ears , and brain are:"
heard,I've heard a lot about you.,exact,to receive or become conscious of a sound using your ears :
real,This is the real thing.,exact,existing in fact and not imaginary :
tonight,What are you doing tonight?,exact,(during) the night of the present day :
job,You're doing a good job.,exact,the regular work that a person does to earn money :
together,We're in this together.,exact,with each other:
bring,Why did you bring me here?,exact,"to take or carry someone or something to a place or a person , or in the direction of the person speaking :"
course,"No, no, of course not.",exact,"a set of classes or a plan of study on a particular subject , usually leading to an exam or qualification :"
guys,What are you guys doing?,exact,used to address a group of people of either sex :
wrong,What is wrong with you?,exact,not correct :
tomorrow,We'll talk about it tomorrow.,exact,on the day after today:
use,I could use a good man to help me get my project on wheels.,exact,"to put something such as a tool , skill , or building to a particular purpose :"
dead,We thought you were dead.,exact,not now living :
few,I'd like to ask you a few questions.,exact,"some, or a small number of something:"
matter,What's the matter with you?,exact,a situation or subject that is being dealt with or considered :
myself,I can take care of myself.,exact,"used when the subject of the verb is ""I"" and the object is the same person :"
meet,It's nice to meet you.,exact,to see and talk to someone for the first time :
understand,Do you understand what I'm saying?,exact,to know the meaning of something that someone says:
until,"Until next time, try to enjoy the daylight.",exact,up to (the time that):
business,It's none of your business.,exact,the activity of buying and selling goods and services :
mrs,This is Mrs. H. She's gorgeous.,exact,a title used before the family name or full name of a married woman who has no other title :
took,What took you so long?,exact,past simple of take
happened,What happened to your face?,exact,past simple and past participle of happen
hell,What the hell are you doing?,exact,"an extremely unpleasant or difficult place , situation , or experience :"
soon,I'll be back as soon as I can.,exact,in or within a short time ; before long ; quickly :
hope,I hope you know what you're doing.,exact,"to want something to happen or to be true , and usually have a good reason to think that it might:"
wanna,What do you wanna do?,exact,"short form of "" want to"" or "" want a"":"
wasn't,"It was you, wasn't it?",exact,short form of was not:
yet,You ain't seen nothing yet.,exact,still; until the present time :
couldn't,I couldn't agree with you more.,exact,short form of could not:
says,I don't care what anybody says.,exact,"to pronounce words or sounds , to express a thought , opinion , or suggestion , or to state a fact or instruction :"
knew,I knew I could count on you.,exact,past simple of know
young,"Michael Knight, a young loner... on a crusade to champion the cause of the innocent... the helpless, the powerless... in a world of criminals who operate above the law.",exact,having lived or existed for only a short time and not old :
run,Why did you run away?,exact,"(of people and some animals ) to move along, faster than walking , by taking quick steps in which each foot is lifted before the next foot touches the ground :"
hand,Let me give you a hand.,exact,"the part of the body at the end of the arm that is used for holding , moving , touching , and feeling things:"
play,Don't play games with me.,exact,"When you play, especially as a child , you spend time doing an enjoyable and/or entertaining activity :"
wants,He wants to talk to you.,exact,needs :
start,I don't know where to start.,exact,to begin doing something:
gotta,We gotta get out of here.,exact,short form of have got to:
face,What happened to your face?,exact,"the front of the head , where the eyes , nose , and mouth are:"
ago,That was a long time ago.,exact,back in time from the present :
guess,"Yeah, I guess you're right.",exact,to give an answer to a particular question when you do not have all the facts and so cannot be certain if you are correct :
killed,You're gonna get us killed.,exact,past simple and past participle of kill
shall,What shall we do now?,exact,"used instead of ""will"" when the subject is ""I"" or ""we"":"
thank,"Thank you very much, sir.",exact,to express to someone that you are pleased about or are grateful for something that they have done:
police,Did you call the police?,exact,"the official organization that is responsible for protecting people and property , making people obey the law , finding out about and solving crime , and catching people who have committed a crime :"
alone,Why don't you leave me alone?,exact,without other people :
both,"Stop it, both of you!",exact,(referring to) two people or things together:
brother,He's like a brother to me.,exact,a man or boy with the same parents as another person :
already,"Somehow, he must convince a disbelieving world that the nightmare has already begun.",exact,before the present time :
case,"But I can't give you this case, 'cause it don't belong to me.",exact,a particular situation or example of something:
family,It runs in the family.,exact,"a group of people who are related to each other, such as a mother , a father , and their children :"
huh,"What do you say, huh?",exact,used to show that you have not heard or understood something:
called,You should have called me.,exact,past simple and past participle of call
end,It's not the end of the world.,exact,the part of a place or thing that is furthest away from the centre :
pay,You'll pay for this!,exact,to give money to someone for something you want to buy or for services provided :
each,You two know each other?,exact,"every thing, person , etc. in a group of two or more, considered separately :"
friends,We're all friends here.,exact,"a person who you know well and who you like a lot, but who is usually not a member of your family :"
pretty,Andy kept pretty much to himself at first.,exact,"quite , but not extremely :"
hard,I find that hard to believe.,exact,"not easy to bend , cut , or break :"
heart,You're breaking my heart.,exact,the organ in your chest that sends the blood around your body :
under,You're all under arrest.,exact,"in or to a position below or lower than something else , often so that one thing covers the other:"
gone,This has gone far enough.,exact,past participle of go
trouble,What seems to be the trouble?,exact,problems or difficulties :
looks,That's what it looks like.,exact,"a person's appearance , especially how attractive they are:"
town,From the town of Bedrock,exact,"a place where people live and work , containing many houses , shops , places of work , places of entertainment , etc., and usually larger than a village but smaller than a city :"
year,It was the year everything changed.,exact,"a period of twelve months , especially from 1 January to 31 December :"
also,Also starring... as Sergeant Carter.,exact,in addition :
bit,"Marking it with twin circles, I feel a bit more grown-up!",exact,a small piece or amount of something:
turn,One good turn deserves another.,exact,to ( cause to) move in a circle around a fixed point or line :
afraid,What are you afraid of?,exact,"feeling fear , or feeling worry about the possible results of a particular situation :"
death,It's a matter of life and death.,exact,the end of life :
far,This has gone far enough.,exact,"at, to, or from a great distance in space or time :"
happy,I'm so happy to see you.,exact,"feeling , showing , or causing pleasure or satisfaction :"
he'll,He'll be all right.,exact,short form of he will:
gave,Who gave it to you?,exact,past simple of give
school,We went to school together.,exact,a place where children go to be educated :
five,"One, two, three, four, five.",exact,the number 5:
against,Anything you say can and will be used against you in a court of law.,exact,disagreeing with a plan or activity :
die,Do you want to die?,exact,"to stop being alive , either suddenly or slowly :"
idea,Whatever gave you that idea?,exact,a suggestion or plan for doing something:
ready,Are you ready for this?,exact,prepared and suitable for fast activity :
wish,Your wish is my command.,exact,used with the past simple to express that you feel sorry or sad about a state or situation that exists at the moment :
dear,"Are you all right, dear?",exact,loved or liked very much:
somebody,I want you to meet somebody.,exact,someone
hands,Get your hands off me!,exact,"the part of the body at the end of the arm that is used for holding , moving , touching , and feeling things:"
waiting,What are you waiting for?,exact,present participle of wait
eyes,I saw it with my own eyes.,exact,one of the two organs in your face that are used for seeing :
rest,May he rest in peace.,exact,to ( cause someone or something to) stop doing a particular activity or stop being active for a period of time in order to relax and get back your strength :
door,There's someone at the door.,exact,"a flat object that is used to close the entrance of something such as a room or building , or the entrance itself:"
anyone,Is there anyone alive out there?,exact,"used in questions and negatives to mean ""a person or people "":"
lady,She's one lady who knows how to take care of herself.,exact,a polite or old-fashioned way of referring to or talking to a woman:
chance,This is your last chance.,exact,an occasion that allows something to be done:
half,You don't know the half of it.,exact,either of the two equal or nearly equal parts that together make up a whole :
open,"Come on, open the door.",exact,not closed or fastened :
hold,"Hold it, hold it, hold it.",exact,to take and keep something in your hand or arms :
aren't,Aren't you ashamed of yourself?,exact,short form of are not:
having,Are you having a good time?,exact,present participle of have
part,I don't want any part of it.,exact,some but not all of a thing:
lost,Have you lost your mind?,exact,not knowing where you are and how to get to a place :
doctor,What did the doctor say?,exact,a person with a medical degree whose job is to treat people who are ill or hurt :
its,"Its continuing mission, to explore strange new worlds to seek out new life and new civilisations to boldly go where no one has gone before.",exact,belonging to or relating to something that has already been mentioned :
comes,What goes around comes around.,exact,to move or travel towards the speaker or with the speaker :
married,How long have you been married?,exact,having a wife or husband :
eat,Let's get something to eat.,exact,"to put or take food into the mouth , chew it (= crush it with the teeth ) , and swallow it:"
word,Take my word for it.,exact,a single unit of language that has meaning and can be spoken or written:
water,I'll get you some water.,exact,"a clear liquid , without colour or taste , that falls from the sky as rain and is necessary for animal and plant life :"
move,Move out of the way!,exact,to ( cause to) change position :
quite,"Oh, that's quite all right.",exact,completely :
minutes,I'll be back in a few minutes.,exact,the written record of what was said at a meeting :
baby,"Come on, baby, come on.",exact,"a very young child , especially one that has not yet begun to walk or talk :"
forget,And don't you forget it.,exact,"to be unable to remember a fact , something that happened , or how to do something:"
taking,Where are you taking me?,exact,present participle of take
later,I'll talk to you later.,exact,at a time in the future or after the time you have mentioned :
minute,I'll be back in a minute.,exact,"one of the 60 parts that an hour is divided into, consisting of 60 seconds :"
set,It is by will alone I set my mind in motion.,exact,to put something in a particular place or position :
anyway,What are you doing here anyway?,exact,"whatever else is happening , without considering other things:"
four,"One, two, three, four, five.",exact,the number 4:
knows,He knows what he's doing.,exact,to have information in your mind :
war,"1, 2, 3, 4, we don't want your fucking war!",exact,"armed fighting between two or more countries or groups , or a particular example of this:"
asked,He asked me to marry him.,exact,past simple and past participle of ask
happen,It'll never happen again.,exact,(of a situation or an event ) to have existence or come into existence :
least,It's the least I can do.,exact,less than anything or anyone else ; the smallest amount or number :
times,How many times do I have to tell you?,exact,on many occasions :
saying,Do you understand what I'm saying?,exact,a well-known wise statement that often has a meaning that is different from the simple meanings of the words it contains :
em,Get 'em out of here!,exact,short form of them:
fine,You're gonna be fine.,exact,good or good enough; healthy and well:
dr,Starring David Janssen as Dr. Richard Kimble.,exact,written abbreviation for Doctor:
drink,Would you like something to drink?,exact,(an amount of) liquid that is taken into the body through the mouth :
